Id,zip,Geography,Estimate; Total,Margin of Error; Total,sameDay,oneHour,twoHour
8600000US72024,72024,ZCTA5 72024,3551,421,false,false,false
8600000US72025,72025,ZCTA5 72025,857,391,false,false,false
8600000US72026,72026,ZCTA5 72026,449,193,false,false,false
8600000US72027,72027,ZCTA5 72027,1743,406,false,false,false
8600000US72029,72029,ZCTA5 72029,1776,208,false,false,false
8600000US72030,72030,ZCTA5 72030,676,265,false,false,false
8600000US72031,72031,ZCTA5 72031,7336,706,false,false,false
8600000US72032,72032,ZCTA5 72032,31710,1256,false,false,false
8600000US72034,72034,ZCTA5 72034,45971,1112,false,false,false
8600000US72035,72035,ZCTA5 72035,1713,290,false,false,false
8600000US72036,72036,ZCTA5 72036,757,175,false,false,false
8600000US72037,72037,ZCTA5 72037,41,45,false,false,false
8600000US72038,72038,ZCTA5 72038,44,40,false,false,false
8600000US72039,72039,ZCTA5 72039,2402,313,false,false,false
8600000US72040,72040,ZCTA5 72040,2949,256,false,false,false
8600000US72041,72041,ZCTA5 72041,1424,185,false,false,false
8600000US72042,72042,ZCTA5 72042,4987,307,false,false,false
8600000US72044,72044,ZCTA5 72044,906,262,false,false,false
8600000US72045,72045,ZCTA5 72045,1181,266,false,false,false
8600000US72046,72046,ZCTA5 72046,4741,369,false,false,false
8600000US72047,72047,ZCTA5 72047,880,234,false,false,false
8600000US72048,72048,ZCTA5 72048,36,30,false,false,false
8600000US72051,72051,ZCTA5 72051,482,203,false,false,false
8600000US72055,72055,ZCTA5 72055,816,158,false,false,false
8600000US72057,72057,ZCTA5 72057,1160,345,false,false,false
8600000US72058,72058,ZCTA5 72058,15923,650,false,false,false
8600000US72059,72059,ZCTA5 72059,26,27,false,false,false
8600000US72060,72060,ZCTA5 72060,298,105,false,false,false
8600000US72061,72061,ZCTA5 72061,149,61,false,false,false
8600000US72063,72063,ZCTA5 72063,1597,253,false,false,false
8600000US72064,72064,ZCTA5 72064,2556,239,false,false,false
8600000US72065,72065,ZCTA5 72065,4550,583,false,false,false
8600000US72067,72067,ZCTA5 72067,2974,473,false,false,false
8600000US72068,72068,ZCTA5 72068,472,124,false,false,false
8600000US72069,72069,ZCTA5 72069,2018,442,false,false,false
8600000US72070,72070,ZCTA5 72070,1802,387,false,false,false
8600000US72072,72072,ZCTA5 72072,564,148,false,false,false
8600000US72073,72073,ZCTA5 72073,966,183,false,false,false
8600000US72074,72074,ZCTA5 72074,96,43,false,false,false
8600000US72076,72076,ZCTA5 72076,38910,1150,false,false,false
8600000US72079,72079,ZCTA5 72079,766,274,false,false,false
8600000US72080,72080,ZCTA5 72080,1048,438,false,false,false
8600000US72081,72081,ZCTA5 72081,7852,709,false,false,false
8600000US72082,72082,ZCTA5 72082,1922,306,false,false,false
8600000US72083,72083,ZCTA5 72083,260,116,false,false,false
8600000US72084,72084,ZCTA5 72084,1582,294,false,false,false
8600000US72085,72085,ZCTA5 72085,222,85,false,false,false
8600000US72086,72086,ZCTA5 72086,11085,754,false,false,false
8600000US72087,72087,ZCTA5 72087,1946,513,false,false,false
8600000US72088,72088,ZCTA5 72088,2523,405,false,false,false
8600000US72099,72099,ZCTA5 72099,488,80,false,false,false
8600000US72101,72101,ZCTA5 72101,3413,232,false,false,false
8600000US72102,72102,ZCTA5 72102,2299,420,false,false,false
8600000US72103,72103,ZCTA5 72103,12925,1063,false,false,false
8600000US72104,72104,ZCTA5 72104,22915,669,false,false,false
8600000US72106,72106,ZCTA5 72106,5630,620,false,false,false
8600000US72107,72107,ZCTA5 72107,342,114,false,false,false
8600000US72108,72108,ZCTA5 72108,26,26,false,false,false
8600000US72110,72110,ZCTA5 72110,11924,599,false,false,false
8600000US72111,72111,ZCTA5 72111,982,266,false,false,false
8600000US72112,72112,ZCTA5 72112,11646,379,false,false,false
8600000US72113,72113,ZCTA5 72113,21787,986,false,false,false
8600000US72114,72114,ZCTA5 72114,12218,994,false,false,false
8600000US72116,72116,ZCTA5 72116,21979,1035,false,false,false
8600000US72117,72117,ZCTA5 72117,12858,918,false,false,false
8600000US72118,72118,ZCTA5 72118,23950,1244,false,false,false
8600000US72119,72119,ZCTA5 72119,79,65,false,false,false
8600000US72120,72120,ZCTA5 72120,30523,997,false,false,false
8600000US72121,72121,ZCTA5 72121,2428,340,false,false,false
8600000US72122,72122,ZCTA5 72122,881,328,false,false,false
8600000US72123,72123,ZCTA5 72123,373,87,false,false,false
8600000US72125,72125,ZCTA5 72125,952,234,false,false,false
8600000US72126,72126,ZCTA5 72126,3696,468,false,false,false
8600000US72127,72127,ZCTA5 72127,2084,382,false,false,false
8600000US72128,72128,ZCTA5 72128,802,146,false,false,false
8600000US72129,72129,ZCTA5 72129,1286,253,false,false,false
8600000US72130,72130,ZCTA5 72130,388,168,false,false,false
8600000US72131,72131,ZCTA5 72131,5010,847,false,false,false
8600000US72132,72132,ZCTA5 72132,2878,335,false,false,false
8600000US72134,72134,ZCTA5 72134,442,150,false,false,false
8600000US72135,72135,ZCTA5 72135,2528,328,false,false,false
8600000US72136,72136,ZCTA5 72136,1727,474,false,false,false
8600000US72137,72137,ZCTA5 72137,2158,466,false,false,false
8600000US72139,72139,ZCTA5 72139,281,76,false,false,false
8600000US72140,72140,ZCTA5 72140,296,99,false,false,false
