id,season,age,g,av
AlexBr21,1989,24,8,1
AlexCh00,1979,22,16,3
AlexD.00,2015,24,16,1
AlexDa00,2010,24,8,2
AlexDa20,1977,22,14,4
AlexDa21,2001,23,7,0
AlexDa22,1987,23,12,1
AlexDe00,1994,23,14,8
AlexDe20,1995,22,15,5
AlexDo01,2016,21,14,1
AlexDo20,+,24,4,
AlexEl20,1992,22,12,1
AlexEr20,2004,22,3,0
AlexFr00,2012,23,16,3
AlexGe99,2007,23,16,6
AlexGl00,1970,23,13,0
AlexHa20,1993,23,16,3
AlexJe00,1989,24,14,2
AlexJo20,1922,26,8,
AlexJo21,1977,22,4,3
AlexKe00,1996,21,4,1
AlexKe01,1963,22,14,6
AlexKe02,2010,23,8,0
AlexKe20,1993,24,14,1
AlexKw00,2015,21,12,5
AlexLo99,2007,24,13,1
AlexMa00,2014,23,9,1
AlexMa01,2016,23,13,1
AlexMi00,1989,24,16,3
AlexMi01,2011,23,8,1
AlexP.20,2004,26,5,0
AlexPa20,1996,24,16,1
AlexRa00,1984,22,8,1
AlexRi00,2005,24,2,0
AlexRo20,1982,24,9,0
AlexRo21,2004,23,16,1
AlexRo22,1986,22,1,0
AlexRu20,2008,25,1,0
AlexSh00,2000,23,16,3
AlexSt00,1998,23,15,3
AlexSt20,1970,24,8,1
AlexVa00,2016,22,9,2
AlexVi20,1987,23,1,1
AlexWi20,1971,22,14,5
AlflTe20,1969,22,4,0
AlfoBr00,1998,23,2,0
AlfoBr01,1946,25,13,
AlfoBr20,1967,22,2,-1
AlfoDa20,2000,23,1,0
AlfoDo00,2012,24,,0
AlfoGe20,1931,26,14,
AlfoJa99,2007,24,16,1
AlfoJu20,1937,26,10,
AlfoLy20,1987,24,1,0
AlfoMa00,2015,23,1,0
AlfoMi20,1965,22,13,3
AlfoRo00,2013,25,16,2
AlfsWa20,1941,26,11,
AlipTu20,1994,27,8,1
AlixCh00,2007,23,13,0
AllaDo20,1961,25,1,0
AlleAn00,1985,26,16,2
AlleAn01,2011,23,5,0
AlleAn02,2012,24,7,1
AlleAn20,2008,25,15,3
AlleAr00,2011,22,2,0
AlleAs99,2009,21,10,1
AlleBe00,2014,23,16,1
AlleBr20,2003,23,4,0
AlleBr21,2001,23,3,0
AlleBu00,1961,24,1,0
AlleCa20,1948,28,13,
AlleCa21,1977,22,14,2
AlleCh00,1961,22,9,10
AlleCo00,2011,23,15,1
AlleDa00,2003,25,14,1
AlleDa20,1960,25,14,7
AlleDe20,1995,24,1,0
AlleDo00,1967,22,10,0
AlleDo01,1960,21,10,0
AlleDo20,1974,23,14,4
AlleDu00,1961,24,10,1
AlleDw00,2012,22,16,4
AlleEa20,1987,26,1,0
AlleEd20,1928,27,2,
AlleEd21,1947,29,9,
AlleEg20,1987,23,6,2
AlleEr00,1988,23,16,8
AlleEr20,1947,29,12,
AlleGa20,1982,22,7,0
AlleGe20,1966,22,9,3
AlleGr20,1968,22,14,3
AlleGr21,1985,22,7,0
allegrau01,1983,24,16,7
AlleHa20,1987,23,2,1
AlleIa20,2002,24,3,0
AlleJa00,1998,23,6,2
AlleJa01,2015,24,16,5
AlleJa20,1969,22,5,2
AlleJa21,2002,23,14,2
AlleJa22,2004,22,15,4
AlleJa23,2006,23,16,1
AlleJa24,2009,24,3,0
AlleJe00,1966,25,4,0
AlleJe01,2012,22,16,4
AlleJe20,1980,23,16,1
AlleJe21,1971,23,1,2
AlleJi20,1974,22,14,1
AlleJo00,2014,23,3,0
AlleJo20,1955,22,12,
AlleKe00,2013,21,15,10
AlleKe20,2003,25,10,1
AlleKe21,1985,22,16,3
AlleKu20,1977,22,14,2
AlleLa00,1994,23,16,5
AlleLo20,1950,26,12,
AlleLy20,1920,22,2,
AlleMa00,*+,22,9,18
AlleMa01,1988,23,11,0
AlleMa20,2002,25,14,1
AlleNa20,1971,23,4,2
AlleNa99,2010,23,13,5
AllePa20,1984,23,16,1
AlleRa00,2014,24,1,0
AlleRi00,2015,24,15,6
AlleRo20,2009,23,2,0
AlleRu00,2009,23,16,3
AlleRy01,2013,23,16,3
AlleTa20,1997,24,14,1
AlleTe00,1991,23,15,5
AlleTr00,1997,23,2,0
AlleTy20,1986,23,16,2
AlleWi20,2001,23,13,6
AlleWi21,2004,22,16,1
AlliAu00,2007,21,11,2
AlliBu20,1960,27,11,3
AlliGe01,2016,22,10,2
AlliHe20,1971,24,14,5
AlliJi00,1965,22,14,2
AlliNe20,1926,24,9,
AllmBo20,1936,23,1,
AllrBr20,1993,24,4,0
AllrCo99,2007,24,3,0
AllrJo00,1997,23,15,1
AlltJo20,1942,22,11,
AlmoBe20,1987,25,2,0
AlmxJe20,1990,22,16,1
AlonKi00,2013,23,16,9
AlphGe20,1990,26,11,1
AlstJo20,2006,23,3,0
AlstLy20,1987,23,3,1
AlstMa00,1970,23,8,0
AlstMi00,1996,23,16,7
AlstOB20,1988,23,15,5
AlstRi20,2004,24,9,1
AlthJi20,1987,26,4,2
AltxJo00,1984,22,15,1
AluaTy99,2010,23,16,6
alvarwil01,1981,24,4,0
AlveSt20,1981,24,16,0
AlvoSt20,1987,23,12,3
AlwaTo20,1976,24,14,3
AlwoLa00,1962,22,4,3
AlzaLy00,1971,22,12,5
AmanEu20,2004,22,15,2
AmarJa00,2014,22,14,3
AmatKe20,2003,26,16,1
AmayJo00,2010,22,10,1
AmbeJo00,1951,22,12,
AmbrAs00,1992,22,10,1
AmbrDi20,1975,22,14,4
AmbrJo20,1932,22,6,
AmbrWa20,1930,25,1,
AmecAl00,*+,22,12,
AmenDa00,2009,24,14,2
AmerDa00,2013,22,16,3
AmerGl20,1961,23,14,3
AmesDa00,1961,24,12,1
AmeyFr00,2005,24,11,1
AmeyVi20,1998,23,4,1
AmmaRi20,1972,22,14,3
AmosAd00,2015,22,16,6
AmslMa20,1967,25,14,9
AmstJo20,1957,23,11,
AmukPr00,2011,22,7,1
AmunGe00,1973,22,9,1
AmunNo20,1957,25,12,
AnanVi20,1945,30,1,
AndaRu20,1952,24,6,
AndeAl00,1984,23,16,5
AndeAl20,1921,27,1,
AndeAn20,1979,23,16,1
AndeAn21,1987,23,3,0
AndeAn22,1997,24,16,4
AndeAn23,2010,22,2,0
AndeAr20,1987,22,3,0
AndeAr21,1961,25,14,7
AndeBe20,2001,24,16,6
AndeBi00,1958,22,12,
AndeBi01,1953,24,12,
AndeBi20,1945,24,6,
AndeBi21,1967,26,8,0
AndeBo00,1970,23,14,5
AndeBo01,1963,25,1,0
AndeBr20,1984,23,13,1
AndeBr21,1966,22,7,3
AndeBr22,2004,24,4,0
AndeBr23,2009,24,3,0
AndeC.00,2013,22,5,0
AndeCh00,1967,22,14,2
AndeCh20,1956,23,2,
AndeCh21,2004,23,15,2
AndeCl00,1952,23,12,
AndeCo00,2004,24,9,1
AndeCo01,2010,25,8,1
AndeCu20,1979,22,6,3
AndeCu21,1997,24,9,1
AndeDa00,2002,23,10,1
AndeDa01,2006,23,9,0
AndeDa20,1992,23,2,0
AndeDe00,2006,23,5,2
AndeDe01,2007,24,8,1
AndeDi00,1968,22,14,7
AndeDi20,1967,23,2,1
AndeDo00,1966,23,14,2
AndeDo20,1985,22,5,0
AndeDu20,1994,24,1,0
AndeDw20,1987,26,1,0
AndeDw21,2004,23,12,1
AndeEd20,1922+,22,10,
AndeEd21,1986,23,5,0
AndeEr20,1993,25,8,1
AndeFl00,1988,23,16,3
AndeFr20,1978,24,16,4
AndeGa00,1985,24,12,8
AndeGa20,1977,22,13,1
AndeHe00,2015,24,9,4
AndeHe20,1991,23,1,0
AndeHu20,1922,24,10,
AndeJa00,1994,22,3,0
AndeJa02,2005,25,1,0
AndeJa20,1999,24,9,0
AndeJa21,2006,23,16,2
AndeJa98,2007,21,16,6
AndeJe00,1990,24,16,1
AndeJe20,1977,24,14,2
AndeJo00,2012,24,3,0
AndeJo01,2015,24,11,2
AndeJo20,1978,22,13,6
AndeJu00,2012,24,,0
AndeJu01,2014,23,2,0
AndeKe00,1971,22,11,4
AndeKe20,1999,24,2,0
AndeKi00,1991,25,2,0
AndeKi20,1980,23,16,2
AndeLa20,1978,22,16,1
AndeMa00,1968,23,14,5
AndeMa20,1981,22,12,2
AndeMa21,2006,23,16,4
AndeMa22,2002,23,14,6
AndeMe20,1987,22,2,0
AndeMi00,2000,27,16,13
AndeNe00,1986,22,14,2
AndeOc20,1920,26,11,
AndeOt00,*+,22,16,13
AndePa20,1925,23,1,
AndePr20,1974,23,14,3
AndeRa00,1958,21,12,
AndeRa20,1971,22,7,3
AndeRa21,2000,23,12,1
andergar02,1982,23,9,5
AndeRi00,1993,22,7,0
AndeRi20,1978,25,16,0
andermor01,1982,22,8,0
AndeRo00,1998,24,4,0
AndeRo04,2016,23,16,4
AndeRo20,1964,22,11,4
AndeSc00,2001,22,9,2
AndeSc20,1974,23,5,3
AndeSt00,1994,24,10,1
AndeSt01,2016,23,13,1
AndeSt20,1940,23,11,
AndeSt21,1982,23,2,0
AndeSu20,1947,27,13,
AndeTa00,1961,23,14,4
AndeTe20,1977,22,11,0
AndeTi20,2004,24,3,0
AndeVi00,2010,26,3,0
AndeVi20,1980,24,7,0
AndeWa20,1977,22,8,0
AndeWi00,1996,21,16,6
AndeWi20,1923,26,1,
AndeWi21,1975,26,13,2
AndeWi22,1936,27,5,
Andexx20,1922,,1,
AndeZa01,2016,24,16,2
AndoEr20,1988,22,13,1
AndrAl20,1970,25,8,2
AndrAn00,2014,23,4,0
AndrBi20,1967,22,14,3
AndrDa00,2015,23,14,7
AndrGe00,1962,22,14,6
AndrGe20,1979,24,16,3
AndrJa20,1934,22,2,
AndrJo00,1972,24,1,0
AndrJo01,2015,24,13,1
AndrJo20,1975,24,14,2
AndrJo21,1998,23,15,2
AndrLo20,1967,24,8,2
AndrMi20,1987,23,8,1
AndrPl20,1947,26,12,
AndrRi20,1990,24,15,1
AndrRo20,1923,27,5,
AndrSh00,2009,29,5,0
AndrSh20,1986,24,1,0
AndrSh55,2004,22,1,1
AndrSi20,1937,24,7,
AndrSt20,1940,25,5,
AndrSt21,2004,23,1,0
AndrTe20,1930,25,11,
AndrTo20,1984,22,7,1
AndrTr20,2001,24,8,1
AndrWi00,1979,24,15,9
AndrWi20,2006,23,15,1
AndrZe20,1978,30,16,3
AnelMa20,2002,23,2,0
AnexCh00,1953,22,12,
AnexCh20,1975,23,14,3
AngeBr00,2012,24,16,3
AngeJi20,1987,24,1,0
AngePa99,2010,23,16,5
AngsEl00,1946,21,11,
AnguRi00,2003,23,5,0
AnkrJa00,2014,23,2,0
AnkrSc20,1989,23,10,0
AnnaDu20,1920,25,8,
AnneBl01,2014,23,5,0
AnnoSa20,1987,22,9,0
AnsaEz00,2013,24,14,6
AnthCh20,1974,22,13,5
AnthCo20,2002,24,10,1
AnthRe00,1997,21,16,6
AnthSt00,2015,23,16,6
AnthTe20,1987,22,1,0
AnthTe21,1990,22,1,0
AnthTy00,1984,22,15,2
AntoLi20,1972,22,5,2
AntrGl20,1989,23,1,0
AntwHo00,1961,22,14,3
AnunCh00,2012,23,,0
AnunKe00,2015,25,3,0
ApkeSt20,1987,22,3,2
ApolCh20,1938,24,1,
ApolRa20,*,22,11,
ApplAn99,2008,23,14,1
ApplCl20,1920,27,4,
ApplEl00,2016,21,14,4
ApplJi00,1961,23,3,0
ApplSc20,1964,22,14,3
ApsiMa20,1931,22,9,
ApunBe20,1980,23,10,2
AragLe20,1996,26,3,0
ArapEv20,1986,23,5,0
ArbaFr00,*,23,14,7
ArbuCh00,1992,24,16,1
ArbuHa20,1983,23,16,2
ArceEm00,2011,24,3,0
ArchAd20,2001,24,13,5
ArchBe20,2005,27,5,0
ArchBr99,2007,24,6,1
ArchDa00,1984,22,2,1
ArchDa20,1967,23,14,3
ArchDr00,2014,23,12,0
ArchJu20,1930,25,4,
ArchLe20,1990,23,4,0
ArchMi00,1996,24,2,0
ArchTr20,1976,21,14,4
ArdiTo20,1979,23,16,3
ArdxBi20,1981,22,13,3
ArenAr20,1934,23,3,
ArenJa99,2010,23,16,2
ArenJo00,1951,26,12,
ArenTo20,1942,24,1,
ArguBo20,1920,26,10,
AriaGu20,1934,26,2,
arianjak01,2001,23,10,0
ArieMi20,1989,25,1,0
aririobe01,1984,28,16,3
ArkiDa00,2012,25,1,0
ArmbTh00,2015,23,16,2
ArmoJo20,1999,23,2,0
ArmoJu00,1995,22,15,3
ArmoPh20,2000,24,3,0
ArmsAd00,1980,23,16,0
ArmsAn00,2010,27,15,5
ArmsAn20,1995,22,4,0
ArmsAr01,2015,22,16,1
ArmsBi20,1943,,4,
ArmsBo20,1931,22,14,
ArmsBr00,1987,22,12,6
ArmsCh20,1946,27,10,
ArmsDe00,2003,24,8,1
ArmsGr20,1941,23,7,
ArmsHa20,1982,23,8,1
ArmsJe00,1993,23,16,2
ArmsJi20,1987,25,2,1
ArmsJo20,1923,26,8,
ArmsJo21,1987,24,3,1
ArmsLo20,1946,27,8,
ArmsNe00,1947,21,12,
ArmsNo20,1922,24,1,
ArmsOt00,1973,23,14,2
ArmsQu20,1954,26,2,
ArmsRa01,2013,22,16,1
