id,season,age,g,av
CurrDo20,1943,23,7,
CurrDo21,2001,23,8,1
CurrEr20,1993,23,10,4
CurrHa20,1920,26,9,
CurrHe20,1994,29,1,0
CurrIv20,1987,26,3,1
CurrJu20,2003,24,3,0
CurrMa20,2006,25,2,0
CurrMi00,1967,22,4,1
CurrPa00,1969,24,1,0
CurrRe99,2010,22,9,1
CurrRo00,1963,24,6,0
CurrRo01,2002,23,1,0
CurrSc20,1999,24,5,0
CurrSh20,1991,23,9,1
CurrVi00,2012,24,6,1
CurrWi20,1982,23,7,0
CurtBo20,1987,23,3,2
CurtCa20,1997,23,3,0
CurtDo20,1926,25,4,
CurtIs00,*,23,14,12
CurtKe00,2003,25,4,0
CurtMi00,1965,22,14,3
CurtSc20,1988,24,16,1
CurtTo00,2006,23,4,0
CurtTo20,1970,23,10,4
CurtTr20,1987,22,13,2
CurzHa20,1925,30,9,
CushBr99,*,22,16,11
CushMa00,1999,24,7,0
CusiPe20,1975,23,13,3
CuthRa20,1993,23,10,0
CutlHa20,1920,27,7,
CutlJa00,2006,23,5,3
CutrJa00,2010,22,8,0
CutsGa20,1962,22,14,8
CverAn20,1960,23,12,4
CyprJo00,2013,23,15,5
CyreHe20,1926,25,10,
CzarZi20,1948,26,14,
DaanJe00,1968,24,14,1
DabnCa20,1968,21,14,4
DachCa20,2003,23,16,2
DacuWe99,2008,23,8,0
DaddBi20,1941,25,11,
DAddDa20,1984,23,16,0
DadmHa20,1920,26,2,
DaffTe20,1954,25,12,
DafnBe20,1992,24,2,0
DaGaFr20,1931,23,1,
DAgoFr20,1956,22,12,
DAgoLo20,1996,23,9,0
DahlBo20,1992,24,9,4
DahlCr99,2007,22,9,1
DahlGe20,1924,37,4,
DahlHa20,2006,25,4,0
DahlJo00,2016,23,6,0
DahmTo20,1951,24,12,
DaigAn20,1994,24,1,0
DailCa20,1999,24,6,0
DailTe20,1933,25,10,
DalbDa00,1972,22,14,4
DaleBi20,1946,27,3,
DaleCa00,1960,22,12,5
DaleJe20,1985,23,16,6
DaleRo20,1950,23,11,
DallDi20,1926,23,6,
DallKe20,1985,26,3,0
DalmCh20,1993,23,15,2
DAloPe20,1951,22,12,
DalrSl20,1922,26,1,
DaltAn00,*,24,16,11
DaltAn20,1999,24,2,0
DaltLi20,1998,23,2,0
DaltMo20,1922,26,5,
DaltOa20,1977,25,1,2
daluibra01,1991,24,16,0
DAmaMi20,1968,25,13,3
DamiFr20,1944,22,4,
DamkMa20,1974,22,11,2
DamoJo20,1957,24,4,
DancBo20,1946,22,8,
DaneBi20,1960,26,7,5
DaneDi20,1947,27,11,
DaneEl00,1960,25,14,5
DaneGe20,1968,22,14,4
daneljoe01,1975,22,12,2
DangJo00,2016,26,13,2
DaniAv20,1937,23,9,
DaniB.00,2015,26,8,0
DaniCa20,1982,24,9,1
DaniCh00,2010,24,13,0
DaniCl00,1960,23,14,0
DaniDa00,1991,22,16,0
DaniDa20,1966,25,14,3
DaniDe20,1996,23,4,0
DaniDi20,1966,22,4,2
DaniEu20,1984,23,15,6
DaniGa00,1976,25,1,0
DaniJa20,1925,17,1,
DaniJe20,1998,24,8,3
DaniJi20,1945,27,7,
DaniKe20,1984,24,15,1
DaniLe20,1997,23,1,0
DaniMa00,2012,23,4,0
DaniMi00,2012,23,14,2
DaniOw00,2006,24,14,3
DaniP.00,2007,25,1,0
DaniPh20,1996,23,15,1
DaniRo01,2016,25,1,0
DaniSt20,2010,26,7,2
DaniTo20,2006,25,6,0
DaniTr20,2005,23,16,6
DaniWi20,1961,24,14,7
DanjEr20,1957,23,12,
danmeric01,1977,25,1,0
DanoEd20,1934,23,8,
DansKa20,2004,23,15,8
DantWo00,2002,23,5,1
DanzFr20,1931,25,1,
DaPrNe20,1921,28,6,
DarbAl20,1976,22,3,0
DarbBy20,1983,23,16,1
DarbCh20,2001,26,13,1
DarbKe00,2007,25,1,0
DarbMa20,1992,24,16,1
DarbPa20,1979,23,15,0
DarbRo00,2015,21,15,6
DarcJe20,2000,25,16,1
DardRa20,1984,25,16,3
DardTh00,1972,22,14,8
DardTo20,2000,25,16,2
DareMa00,2011,21,16,7
DariDo20,1998,23,14,6
DariTr20,2004,23,3,0
DarkCh00,1997,23,14,1
DarkOr00,2014,22,11,0
DarlBo20,1927,24,1,
DarlDe00,2004,22,3,0
DarlJa20,1997,23,16,3
DarnBi00,1968,24,11,0
DarnPh20,1984,25,2,0
DarrBa20,1974,24,13,3
DarrBe20,1961,22,12,2
DarrCh20,1987,23,3,0
DarrDa00,1968,22,11,-3
DarrMa00,2015,23,16,3
DarwMa20,1986,23,16,4
DarxKi00,1995,23,1,0
DastDa20,1921,24,4,
DatkAn00,2012,22,,0
DaugBo20,1966,24,4,0
DaugDi00,1951,22,12,
DaugRo20,1987,29,3,0
DaugRu20,1927,25,2,
DaukLo20,1947,26,4,
DaukNi20,1946,24,8,
DaumMi20,1987,24,2,0
DaumRe20,1922,24,9,
DaveCh00,1992,24,15,1
DaveDo20,1991,23,16,1
DaveJo00,2001,25,3,0
DaveNa00,2002,23,8,2
DaveRo00,1985,23,16,4
DaveRo01,2002,24,2,0
DaveWa20,1931,25,2,
DaviA.00,2012,23,1,0
DaviAk00,2014,24,13,1
DaviAn00,1977,25,11,2
DaviAn01,2002,23,16,5
DaviAn20,2002,24,16,2
DaviAn21,1996,21,2,0
DaviAn22,1952,25,6,
DaviAn23,1993,24,10,1
DaviAn24,2004,24,2,0
DaviAn25,1991,24,16,6
DaviAn26,2002,23,6,0
DaviAn27,2010,21,16,7
DaviAr20,1956,22,9,
DaviAu00,2012,23,,0
DaviBe00,1961,21,14,3
DaviBe01,1967,22,14,3
DaviBi00,1995,23,16,0
DaviBi20,1937,22,11,
DaviBi21,1940,24,10,
DaviBi22,1984,23,1,0
DaviBo00,1967,22,2,1
DaviBo20,1947,26,8,
DaviBo21,1938,24,8,
DaviBo22,1946,25,11,
DaviBo23,1948,21,12,
DaviBr00,2010,24,3,0
DaviBr01,2012,23,,0
DaviBr20,1975,22,3,0
DaviBr21,1987,24,7,1
DaviBr22,1984,21,14,1
DaviBr23,1979,23,12,4
DaviBr99,2008,23,5,0
DaviBu20,1953,24,2,
DaviBu21,1970,22,10,3
DaviBu99,2007,24,1,0
DaviC.20,2010,23,7,0
DaviCa00,2004,23,3,0
DaviCa01,2015,23,13,2
DaviCa21,1927,24,8,
DaviCh00,1974,22,14,6
DaviCh02,2007,23,12,0
DaviCh03,2007,24,2,0
DaviCh05,2014,24,12,1
DaviCh20,1984,25,3,0
DaviCh21,1974,23,14,4
DaviCh22,2005,22,16,4
DaviCh23,1987,24,3,2
DaviCh24,2003,24,1,0
DaviCl00,1971,22,14,5
DaviCo00,1954,23,12,
DaviCo02,2013,24,12,1
DaviCo20,1938,24,11,
DaviCr00,2007,22,13,2
DaviDa00,1971,23,14,1
DaviDa20,1990,24,15,2
DaviDe00,2012,23,16,3
DaviDe20,1991,21,11,1
DaviDe99,2010,24,15,1
DaviDi00,1970,24,6,1
DaviDi20,1962,24,12,4
DaviDo00,1962,22,11,0
DaviDo01,2003,23,14,10
DaviDo02,2012,23,1,0
DaviDo20,1920,30,8,
DaviDo21,1966,23,14,3
DaviDo22,1996,24,11,1
DaviDo23,2003,24,14,1
DaviDo24,1966,22,13,6
DaviDr00,2012,23,16,0
DaviEd20,1920,,6,
DaviEl20,1987,22,4,0
DaviEr00,1990,22,16,2
DaviFr00,1941,22,11,
DaviFr01,2008,22,11,0
DaviFr20,2006,25,11,2
DaviFr21,1987,23,1,0
DaviGa00,1976,22,14,2
DaviGa20,1936,22,6,
DaviGe00,2015,23,10,0
DaviGl00,1960,26,4,0
DaviGl01,*,26,12,
DaviGr20,1980,22,14,1
DaviHa00,1974,22,12,4
DaviHa20,1949,24,11,
DaviHa21,2010,23,1,0
DaviHa99,2012,25,2,0
DaviHe20,1968,26,14,5
DaviHe21,1925,26,4,
DaviHe22,1936,26,2,
DaviIs20,1994,22,13,2
DaviJa00,2008,25,6,0
DaviJa02,2013,23,1,0
DaviJa03,2009,23,2,0
DaviJa05,2014,24,2,0
DaviJa20,2004,22,16,5
DaviJa21,1960,28,14,5
DaviJa22,1960,27,2,2
DaviJa23,1982,25,9,3
DaviJa24,2003,24,8,1
DaviJe20,1990,23,12,1
DaviJe21,1982,22,9,2
DaviJe22,1987,25,3,1
DaviJe23,2002,28,2,0
DaviJe24,1948,24,11,
DaviJe25,1975,24,6,1
DaviJe26,1996,26,2,0
DaviJi00,1952,25,12,
DaviJi20,2005,24,1,0
DaviJo00,1997,24,8,0
DaviJo01,1978,22,16,3
DaviJo20,1928,25,6,
DaviJo21,1946,27,14,
DaviJo22,1920,,8,
DaviJo23,1987,22,6,1
DaviKa00,2013,23,3,0
DaviKe00,1986,24,16,4
DaviKe01,2008,23,16,0
DaviKe20,1990,23,14,2
DaviKe21,2002,24,8,1
DaviKe22,1987,24,1,0
DaviKn00,2013,22,16,3
DaviKy20,1975,23,14,4
DaviLa00,2012,22,16,9
DaviLa20,1946,25,14,
DaviLe20,1985,23,7,0
DaviLe21,2001,23,16,7
DaviLo20,1990,22,4,0
DaviMa20,1966,23,1,2
DaviMa21,1974,22,13,3
DaviMi01,2015,22,6,1
DaviMi20,1978,22,16,2
DaviMi21,1994,22,16,1
DaviMi22,+,28,12,
DaviNa20,1997,23,2,0
DaviNi00,2002,23,15,0
DaviNo20,1996,24,12,4
DaviNo21,1967,22,14,4
DaviOl20,1977,23,14,6
DaviPa20,1922,25,7,
DaviPa21,1995,26,3,0
DaviPa22,1947,22,5,
DaviPa23,1981,23,13,1
DaviPe20,1960,23,1,3
DaviPe21,1999,23,2,0
DaviPr20,1984,22,12,3
DaviRa00,2005,26,12,1
DaviRa20,1947,25,11,
DaviRa21,1932,25,11,
DaviRe00,1999,23,16,1
DaviRe20,1933,26,8,
DaviRe21,1988,23,16,6
DaviRi20,1975,22,14,4
DaviRo20,1996,28,16,1
DaviRo21,2004,23,14,1
DaviRo22,1960,22,12,3
DaviRo23,1973,23,2,2
DaviRo24,1995,23,12,2
DaviRo25,1965,24,14,2
DaviRu00,1980,24,14,1
DaviRu20,1999,24,11,4
DaviRy00,2012,23,1,0
DaviSa20,1967,23,14,3
DaviSa21,2003,23,16,5
DaviSc20,1988,23,15,2
DaviSc21,1993,23,4,0
DaviSe00,2016,,16,5
davisgre01,1987,22,3,1
DaviSh00,2000,23,12,0
DaviSo00,1971,23,14,2
DaviSo20,1961,23,2,2
DaviSt00,1996,22,12,1
DaviSt01,1972,24,11,1
DaviSt02,1973,23,8,0
DaviSt20,1984,22,16,2
DaviTe00,1995,23,14,12
DaviTe20,1964,22,14,4
DaviTh00,2000,25,13,0
DaviTh20,2005,22,16,2
DaviTo00,1976,23,14,2
DaviTo01,2014,22,9,1
DaviTo20,1959,25,12,
DaviTr00,1997,22,16,2
DaviTr01,2012,26,,0
DaviTr02,2013,22,4,0
DaviTr03,2016,23,11,0
DaviTr20,1995,22,9,2
DaviTr21,1990,24,2,0
DaviTy00,1995,23,4,0
DaviTy01,2015,23,16,2
DaviTy20,1995,25,1,0
DaviTy21,1985,24,7,1
DaviVa20,1947,26,13,
DaviVe00,2006,22,10,2
DaviVe20,1971,22,3,2
DaviVo99,2009,21,16,4
DaviWa20,1985,22,16,3
DaviWa21,1987,23,12,1
DaviWe00,1988,22,16,2
DaviWe20,1996,23,13,1
DaviWe21,1998,23,11,0
DaviWi00,1991,24,1,0
DaviWi01,1958,24,12,
DaviWi02,2013,23,5,0
DaviWi99,2009,23,11,1
DaviZo00,1999,24,6,0
DavlMi20,1955,28,9,
DawkBr00,1996,23,14,6
DawkDa00,1990,24,11,1
DawkEv00,2013,23,1,0
DawkJo00,1970,22,14,4
DawkJu00,1983,22,11,1
DawkSe00,1993,22,16,3
DawkTo20,1987,22,2,1
DawlFr20,1944,23,2,
DawsBi20,1965,23,9,0
DawsCl00,2007,24,13,1
DawsDe00,1988,23,8,3
DawsDo20,1984,23,15,2
DawsGi20,1953,23,7,
DawsJa00,2000,23,2,1
DawsKe99,2007,22,16,4
DawsLa00,1991,24,16,6
DawsLa01,1994,22,12,4
DawsLe00,1957,22,3,
DawsLi00,1981,22,15,1
DawsMi20,1976,23,13,4
dawsodal01,1987,23,3,-1
dawsophi01,1999,24,15,2
DawsPa00,2015,22,11,1
DawsRh00,1972,24,14,1
DawsSk00,2013,23,7,0
DawsSt20,1987,22,3,2
DayhHa20,1924,28,11,
DaykTo20,1977,22,14,4
DaynRo00,2000,22,16,4
DayxAl20,1960,22,14,5
DayxEa00,1959,27,4,
DayxFr20,1921,25,1,
DayxSh00,2016,22,16,1
DayxTe20,1997,23,1,0
DayxTo00,1960,25,10,4
DeadBr99,2010,23,10,2
DealRu20,*,25,6,
DeanFl20,1964,24,6,3
DeanFr00,1975,23,14,6
DeanFr20,1977,22,0,2
DeanHa20,1947,25,12,
DeanJi20,1978,23,3,2
DeanKe20,1987,22,4,1
DeanLa00,2011,23,16,1
DeanRa00,1977,22,1,0
DeanTe00,1960,22,12,7
DeanTo20,1946,23,9,
DeanVe20,1982,23,9,9
DeanWa20,1991,23,9,0
DearJa00,1999,23,2,0
DeAyKi20,1986,25,16,1
DeBeFr20,1974,25,7,2
DebeSt00,1978,24,12,1
deBrCa20,1982,22,1,0
DeCaAr00,1953,22,12,
DeCaDa00,2012,22,4,1
DeCaNi20,1933,22,11,
DeCiDo00,2011,23,16,1
DeckEr00,2010,23,14,1
DeckTa00,2016,22,16,10
DeClFr20,1923,23,6,
deCoBi20,1945,27,10,
DeCoTh99,2008,23,10,1
DeekDo20,1945,22,7,
DeerDi20,1922,,2,
DeesBo20,1952,23,9,
DeesDe20,1994,24,16,11
DeexBo00,1957,24,11,
DeexDo20,1988,23,13,0
DeFeNi20,1965,25,14,3
DeFiLo20,1941,25,11,
DeFoJo20,1987,22,3,2
DeFrBo20,1945,27,3,
DeFrCh20,1979,23,4,0
DeGeCh20,2010,23,8,2
DegeDi20,1965,23,12,4
DeGrAl20,1998,24,5,0
DeGrAl21,1993,23,2,0
DeGrCy20,1921,27,7,
DeGrJa00,1974,23,12,1
DegrTo20,1985,23,1,0
DeibAr20,1926,30,7,
DeJuCh20,1976,24,13,3
DekdAl20,1946,25,14,
DekkJo00,2007,24,3,0
DekkPa20,1953,22,11,
deLaBo20,1945,25,2,
DeLaBr00,2011,26,16,8
DelaDa20,1925,22,1,
DelaJe20,1980,24,16,2
DelaJo00,*,23,15,11
DeLaJo01,1973,22,14,6
DelaRy00,2015,23,9,1
DelBJa20,1953,26,5,
DeleBu20,1955,26,12,
DeLeTo00,1972,22,13,3
DelGJi00,1972,25,4,1
delgralx01,1984,22,9,3
DelhJa00,1999,24,2,2
DeLiJi20,1971,22,9,3
delinste01,1988,27,5,2
DellJe20,1985,22,11,2
DellJo20,1934,22,6,
DellLa20,1920,27,6,
DellSp20,1947,24,8,
DelmLo99,2009,22,15,5
DeLoCu20,2004,23,16,1
DeLoGr00,1995,22,2,0
DeloJa00,1976,22,14,1
DeLoJe20,2001,24,15,3
DeLoKe20,1989,22,15,2
DeLoRa20,1981,24,1,0
DeLoSt00,1965,22,12,4
DelpRo00,1988,23,15,4
DeLuJe20,1959,23,12,
DeLuSa20,1960,24,14,4
DeLuTo20,1984,24,1,0
DelxJa00,1985,22,16,6
DeMaAl20,1945,25,5,
DeMaBo00,1961,23,4,2
DeMaBr20,1995,23,16,7
DemaCh20,2002,22,2,0
DeMaEn20,2003,23,5,1
DemaGe20,1932,25,4,
DemaJo20,1967,22,14,3
DeMaMa20,1949,25,12,
DemeCa20,1972,22,5,0
DemeKe00,2013,23,2,0
DemkGe20,1961,26,1,3
DemmJo20,1930,26,6,
DemoBi00,1973,23,6,1
DeMoBo20,1949,22,3,
DempFr20,1950,25,6,
DempJa20,1934,22,2,
DempJe00,2012,22,,0
DempQu99,2008,23,16,2
DempTo20,*+,22,14,6
DempWi20,2002,23,14,4
DeMuRi20,2001,24,7,1
DendPa20,2005,23,4,0
DenfFr20,+,22,5,
DenhAn00,2014,23,4,0
DenHVe20,1971,23,14,5
DenmAn20,2001,22,11,1
DennAl00,2012,23,10,3
DennAl20,1973,22,7,2
DennAn00,2012,23,,0
DennAu00,1967,23,7,1
DennDa00,2014,23,14,1
DennDe00,2012,24,,0
DennDo00,1974,23,12,1
DennEa00,1967,22,13,0
DennGl00,1984,23,16,1
DennGu20,1969,22,14,3
DennJe20,1937,22,11,
DennJo20,2005,27,16,1
DennMa20,1979,24,16,4
DennMa21,1987,22,5,2
DennMi00,1968,24,14,2
DennMi20,1974,24,14,4
DennMi21,1980,22,13,4
DennPa20,2000,22,16,6
DennPr00,1978,23,11,0
DennRi20,1982,24,9,1
DennRy20,2002,25,8,1
DennVi20,1941,25,9,
DensAl00,1964,22,14,3
DensAu00,1999,23,6,1
DensDa20,1997,22,1,0
DensKe20,1976,24,2,0
DensMo00,1974,30,13,6
DentAk00,2011,24,16,1
DentBo20,1960,26,12,4
DentBu20,1986,23,16,1
DentRi00,1983,23,16,3
DentTi20,1998,25,16,1
DentWi20,1922,26,1,
DenvJo20,1962,24,11,6
DeOsSt20,1984,22,16,1
DeOsZa99,2007,23,16,1
DePaAn00,2014,27,16,1
DePaCa20,1945,27,1,
DePaDa00,2012,23,,0
DePaHe20,1945,28,4,
DePaTo20,1978,22,12,2
DeplJa20,1921,22,5,
DepnJo20,1929,22,1,
DePoJe20,1968,22,14,2
DeRaJi20,1975,22,6,2
DeRaLe00,1995,23,8,1
DerbA.00,2016,25,10,1
DerbDe00,1957,22,8,
DerbGl20,1989,25,3,0
DerbJo20,1992,24,1,0
DercDa20,1999,23,9,0
DereAr20,1942,25,5,
DeRiFr20,1990,23,2,0
DerlRo20,1947,25,1,
DeRoAl00,1949,22,11,
DeRoBr20,1979,23,16,1
DeRoDa20,1987,25,3,1
DerrBe20,1920,28,3,
DeSaDa20,1941,23,11,
DescDi20,1955,23,12,
DeShCh20,1945,27,9,
DesiPi00,2014,24,5,1
DesJPa20,1920,27,8,
DeskDo20,1960,28,14,6
DeskVe20,1935,22,1,
DessDa00,1958,23,12,
DeStFr20,1924,24,4,
DeSuWa20,1966,22,14,3
DeteHa20,1967,23,3,0
DetmKo00,1998,25,8,1
DetmTy00,1993,26,3,0
DetwCh20,1970,23,11,4
DetwJo20,1923,31,3,
DeVaDe20,1982,22,4,0
DeVaKy00,2009,24,15,6
DevaSe00,2016,23,12,1
DeveJa00,2012,24,1,0
DeveJo00,2014,26,7,3
DeviKe20,1997,23,12,1
DeViMi99,2007,23,7,1
DeViRo20,1987,22,1,0
DevlCh20,1975,22,14,3
DeVlCh21,1969,22,4,2
DevlJo20,1976,22,14,2
DevlMa20,1920,26,5,
DevlMi20,1993,24,12,1
DevlPa00,2012,24,,0
DevoTo00,2005,25,14,1
DeVrJa20,1999,23,2,0
DeVrJe20,1995,24,2,0
DeVrTy20,2008,24,2,0
DewaJi20,1947,25,10,
DeweBi20,1940,23,4,
DeWeEb20,1927,23,6,
DeWiHe20,1927,25,13,
DeWiRu20,1924,24,8,
DewvWi00,1959,23,11,
DextJa20,1996,23,6,1
DialAl20,1989,24,1,0
DialBe00,1967,24,1,0
DialBu00,1959,22,12,
DialQu00,2013,23,3,0
DiamBi20,1963,24,5,3
DiamCh20,1960,24,14,6
DiamLo00,2004,25,5,0
DianRi00,1982,22,9,1
DiazDa20,1987,23,3,0
DiazJo20,1996,23,11,3
DibbDo00,1951,22,12,
DibbJo20,1930,27,3,
DiBeRi20,1986,22,16,1
DickAn20,1987,24,1,0
DickAn21,1980,23,16,2
DickBo00,1960,26,14,2
DickCh20,1987,25,1,0
DickCu00,1980,24,15,8
DickDa20,1974,22,14,3
DickDo00,2010,22,7,0
DickEd00,2010,23,15,1
DickEl00,1968,23,11,0
DickEr00,*+,23,16,15
DickJi20,1987,23,3,1
DickJo00,2012,23,,0
DickKo20,2003,25,2,0
DickLy00,1971,22,7,1
DickPa00,1976,23,8,1
DickPa20,1959,22,10,
DickRo20,1993,22,6,0
DickTo20,1920,23,3,
DickWa20,1968,27,10,2
DicuCh00,1971,23,14,1
DidiCl00,1982,23,8,0
DidiJo20,1969,22,14,3
DidiMa20,1992,23,2,0
DiedDa20,2004,25,1,0
DiehCh20,1930,25,6,
DiehDa20,1939,21,3,
DiehDa21,2003,23,16,5
DiehJo20,1961,25,3,2
DiehWa20,+,,14,
DiekDo00,1971,22,14,3
DielKr20,2003,22,6,1
DiemRy20,2001,22,15,5
DierDa00,1971,22,12,3
DierSc00,1977,22,14,3
DietCh20,1980,22,16,3
DietEv00,2009,23,13,1
DietHe20,1922,26,9,
diettjoh01,1987,24,2,2
diFiDa20,1941,25,5,
DiggNa20,2000,22,13,6
DiggQu00,2015,24,16,2
DiggSh00,1977,22,7,0
DiggSt00,2015,22,13,8
DiGiCu20,1986,23,3,0
DiGiJo20,2006,24,12,1
DigrBe20,1943,24,2,
DileZa99,2007,22,11,1
DilfTr00,1994,22,5,1
DilgKe00,1995,24,16,7
DillBo00,1952,22,12,
DillCo00,1997,23,16,12
DillEl20,1988,24,8,0
DillJa00,2009,24,7,1
DillK.00,2016,23,5,0
DillPh99,2010,24,7,0
DillSc20,1988,22,13,1
DillSt20,1992,24,12,1
DillTe20,1963,22,7,2
DilsSt00,1979,24,1,0
DiltBu20,1977,24,14,3
DilwAn00,1989,24,1,0
DilwLa20,1926,23,9,
DimaBa20,1945,23,5,
DiMaJa00,2013,23,16,1
DiMaPa00,2012,23,5,0
DimiTo00,1960,25,3,0
DiMiTo20,1966,24,14,4
DimlRi20,1979,23,12,1
DimmDo20,1926,23,1,
DimmTo20,1956,25,12,
DImpRy00,2011,24,12,0
DimrCh20,1988,22,16,1
DiNaGe20,1999,24,11,7
DingAd20,2000,23,14,1
DingAn20,1999,23,9,0
DingMi00,1991,22,8,1
DingNa20,1995,24,6,0
DinkDa00,2002,25,2,0
DinkHo20,1993,24,3,0
DinkTo20,1978,22,16,5
DionTe20,1980,23,9,1
DiorJe20,1987,25,2,0
DiPiRa20,1950,24,12,
DirdJo20,1978,26,16,0
DiReFr20,1987,26,1,0
DiRiRo20,1987,24,3,1
DirkMi20,1968,22,14,2
DiscTo20,1960,24,8,5
DiseLe20,1938,23,11,
DishCh20,1997,23,8,0
DishCr00,1988,23,15,2
DitkMi00,*,22,14,13
DittJo20,1956,23,12,
DiveLa20,2008,23,3,0
DiviJo00,1968,23,3,-1
DixoAh00,2014,23,11,0
DixoAl00,1977,23,8,1
DixoAn00,2010,23,16,1
DixoAn20,1999,24,4,0
DixoAn99,2009,24,16,1
DixoBr00,2014,24,14,1
DixoBr01,2014,24,16,1
DixoCa20,1992,23,11,1
DixoDa20,1994,25,1,0
DixoDe00,2008,23,1,0
DixoDw20,1984,22,10,1
DixoEr20,1994,23,15,1
DixoFl00,1986,22,16,5
DixoGe20,1993,24,11,1
DixoHa00,1981,23,16,5
DixoHe00,1963,23,5,2
DixoJa00,1989,22,16,4
DixoJo20,1987,23,2,0
DixoKe00,2016,22,12,3
DixoMa00,2010,26,3,2
DixoMa20,1998,28,11,5
DixoRa20,1987,22,3,0
DixoRi00,2016,23,16,2
DixoRi20,1983,24,14,1
DixoRi21,1988,22,15,1
DixoRo00,2000,24,12,1
DixoRo20,1993,22,2,0
DixoTi20,1989,23,4,0
DixoTo20,2001,22,8,1
DixoTr01,2016,25,1,0
DixoZa00,1979,23,8,0
DizoJo99,2008,22,12,1
DoanDi20,1920,27,4,
DobbDe00,2011,24,12,1
DobbGl20,+,26,12,
DobbHe20,1974,23,3,2
DobbOl20,1964,23,14,3
DobbTi20,2006,24,16,2
DobeBo20,1946,24,10,
DobeDi20,1925,22,6,
DoblCo00,1972,22,12,5
DobrEm20,1928,31,1,
DobsAa00,2013,22,12,5
DockDa20,2004,23,16,9
DockDe20,2003,23,16,6
DockJa00,2011,23,12,1
DockJo20,1968,24,3,2
DockKe20,2006,22,14,1
DoctJo00,2016,24,2,1
DoddAl00,1967,22,6,0
DoddKe00,2016,24,9,1
DodgDe20,1991,24,11,1
DodgKi20,1984,22,11,1
DodgMa99,2010,23,16,2
DodrDa00,1951,25,7,
DodsLe20,1941,25,2,
DoehJo20,1932,23,7,
DoelFr20,1960,22,2,1
DoelSo20,1933,27,1,
DoerCh00,1996,23,1,0
DoerJa20,2001,23,16,1
DoerJe20,1982,22,2,0
DogiKe20,1996,24,1,0
DoheGe20,1944,24,10,
DoheMe20,1921,25,4,
DohrTo20,1992,24,3,1
DoigSt20,1982,22,9,1
DokePh20,1977,22,12,2
DolaCl20,1935,22,4,
DolbJa00,1975,27,14,5
DoleCh00,1985,24,16,7
DollDi20,1941,24,9,
DollDo00,1949,23,12,
DollTo20,1987,25,2,0
DombBr20,2009,24,16,6
DombJi20,1986,23,3,1
DombLe20,1960,22,1,2
DombPa20,1980,24,16,1
DomiMa00,2001,23,12,0
DomiRa00,2011,23,1,0
DomnJo20,1946,27,11,
DomrMa00,1969,22,10,3
DomrTo20,1968,22,14,4
DonaAa00,*,23,16,11
DonaGe00,1967,25,2,0
DonaGe20,1953,23,11,
DonaJa20,1926,22,13,
DonaJe20,1984,22,16,1
DonaJo20,1949,24,8,
DonaMa20,1978,22,15,1
DonaMi20,1991,23,13,1
DonaOs00,1962,25,13,2
DonaRa00,1980,22,16,1
DonaRy00,2011,23,8,1
DoncBi00,1976,25,1,0
DoncTo20,1975,23,14,0
DonCWa20,1931,22,12,
DoneAl20,1941,24,7,
DonlDo00,1981,22,11,0
DonlJi20,1926,26,2,
DonnAn00,2015,23,5,1
DonnBe20,1960,24,3,2
donneric01,1985,23,11,2
DonnGe20,1965,23,14,2
DonnKe20,1981,23,1,0
DonnKe21,1991,23,16,1
DonnLa00,2012,24,,0
DonnRi20,1982,24,5,1
DonnRo20,1960,23,14,6
DonoAr00,1950,25,12,
DonoBi20,1927,,8,
DonoLe20,1962,23,14,3
DOnoMa20,1992,23,2,1
DonoMi00,1968,23,14,0
DonoPa00,1975,22,13,2
DonoTo20,1980,23,5,0
DoolJi00,1952,22,12,
DoolJo20,1945,26,6,
DoolJo21,1922,25,5,
DoorDa00,1978,22,12,3
DoraJi00,1951,24,12,
DOraJo20,1944,30,5,
DoraVo00,2016,24,1,0
DoreJo20,2003,23,16,1
DorfAr20,1929,21,9,
DorlMa00,2016,24,4,0
DornDa20,1987,25,3,1
DornKe00,1979,22,16,4
DornTh20,1979,23,16,2
DornTo20,1990,22,16,1
DoroAl00,1954,25,11,
DorrAn20,1973,22,5,4
DorrDe20,2002,24,6,0
DorsAn20,1996,23,8,1
DorsCh20,2001,24,9,1
DorsDe00,2006,22,13,0
DorsDi00,1962,26,11,2
dorsedea01,1988,31,6,0
DorsEr20,1986,22,16,1
DorsGl99,2008,23,16,6
DorsJo20,1984,24,16,1
DorsKe00,2004,23,8,-1
DorsKe01,2014,24,3,0
DorsLa00,1976,23,13,1
DorsMa20,1995,22,10,1
DorsNa20,2004,21,13,5
DorsNa21,1973,23,2,0
DorsPh00,2015,22,11,2
DorsTo00,1977,23,14,16
DorsTr20,2002,23,1,0
DossLo00,2015,21,6,0
DossMi20,2003,22,15,6
DossNo20,1947,27,9,
DossRe20,1978,22,16,4
DossTa00,2011,22,6,0
DotsAl20,1965,22,1,2
DotsDe00,2009,24,9,1
DotsDe20,1994,23,0,0
DotsEa20,1993,23,13,1
DotsLi99,2008,23,2,0
DotsSa20,1992,23,16,7
DottJo00,*,23,12,
DoubDa20,1987,27,3,0
DoucEa00,2008,23,7,1
DoudJa20,1930+,25,12,
DougBe20,1933,24,6,
DougBo00,1969,22,11,6
DougBo20,1957,25,10,
DougBo21,1938,,2,
DougDa00,1999,23,14,1
DougDa01,2012,23,1,0
