year,name,show,network,rank
2012,Boob Tube Dude Ryan McGee,Archer,FX,9
2012,Boob Tube Dude Ryan McGee,Mad Men,AMC,10
2012,Cleveland Plain Dealer Mark Dawidziak,Justified,FX,1
2012,Cleveland Plain Dealer Mark Dawidziak,Mad Men,AMC,2
2012,Cleveland Plain Dealer Mark Dawidziak,Louie,FX,3
2012,Cleveland Plain Dealer Mark Dawidziak,Breaking Bad,AMC,4
2012,Cleveland Plain Dealer Mark Dawidziak,Parenthood,NBC,5
2012,Cleveland Plain Dealer Mark Dawidziak,The Middle,ABC,6
2012,Cleveland Plain Dealer Mark Dawidziak,Treme,HBO,7
2012,Cleveland Plain Dealer Mark Dawidziak,The Walking Dead,AMC,8
2012,Cleveland Plain Dealer Mark Dawidziak,Homeland,Showtime,9
2012,Cleveland Plain Dealer Mark Dawidziak,American Horror Story: Asylum,FX,10
2012,Complex Matt Barone,The Walking Dead,AMC,1
2012,Complex Matt Barone,Justified,FX,2
2012,Complex Matt Barone,American Horror Story: Asylum,FX,3
2012,Complex Matt Barone,Mad Men,AMC,4
2012,Complex Matt Barone,Game of Thrones,HBO,5
2012,Complex Matt Barone,Breaking Bad,AMC,6
2012,Complex Matt Barone,Parks and Recreation,NBC,7
2012,Complex Matt Barone,Boardwalk Empire,HBO,8
2012,Complex Matt Barone,Nurse Jackie,Showtime,9
2012,Complex Matt Barone,Wilfred,FX,10
2012,Contra Costa Times Chuck Barney,Breaking Bad,AMC,1
2012,Contra Costa Times Chuck Barney,Sons of Anarchy,FX,2
2012,Contra Costa Times Chuck Barney,Homeland,Showtime,3
2012,Contra Costa Times Chuck Barney,The Walking Dead,AMC,4
2012,Contra Costa Times Chuck Barney,Girls,HBO,5
2012,Contra Costa Times Chuck Barney,Mad Men,AMC,6
2012,Contra Costa Times Chuck Barney,Parenthood,NBC,7
2012,Contra Costa Times Chuck Barney,Louie,FX,8
2012,Contra Costa Times Chuck Barney,Game of Thrones,HBO,9
2012,Contra Costa Times Chuck Barney,New Girl,Fox,10
2012,The Daily Beast Maria Elena Fernandez,Breaking Bad,AMC,1
2012,The Daily Beast Maria Elena Fernandez,Parenthood,NBC,2
2012,The Daily Beast Maria Elena Fernandez,Dallas,TNT,3
2012,The Daily Beast Maria Elena Fernandez,Downton Abbey,PBS,4
2012,The Daily Beast Maria Elena Fernandez,Switched at Birth,ABC Family,5
2012,The Daily Beast Maria Elena Fernandez,Nashville,ABC,6
2012,The Daily Beast Maria Elena Fernandez,RuPaul's Drag Race,Logo,7
2012,The Daily Beast Maria Elena Fernandez,Girls,HBO,8
2012,The Daily Beast Maria Elena Fernandez,Parks and Recreation,NBC,9
2012,The Daily Beast Maria Elena Fernandez,Awkward,MTV,10
2012,The Daily Beast Jace Lacob,Borgen,LinkTV,1
2012,The Daily Beast Jace Lacob,Girls,HBO,2
2012,The Daily Beast Jace Lacob,The Good Wife,CBS,3
2012,The Daily Beast Jace Lacob,Mad Men,AMC,4
2012,The Daily Beast Jace Lacob,Shameless,Showtime,5
2012,The Daily Beast Jace Lacob,Parenthood,NBC,6
2012,The Daily Beast Jace Lacob,Nurse Jackie,Showtime,7
2012,The Daily Beast Jace Lacob,Parks and Recreation,NBC,8
2012,The Daily Beast Jace Lacob,Louie,FX,9
2012,The Daily Beast Jace Lacob,Sherlock,PBS,10
2012,Denver Post Joanne Ostrow,Mad Men,AMC,1
2012,Denver Post Joanne Ostrow,Breaking Bad,AMC,2
2012,Denver Post Joanne Ostrow,Homeland,Showtime,3
2012,Denver Post Joanne Ostrow,Louie,FX,4
2012,Denver Post Joanne Ostrow,Game of Thrones,HBO,5
2012,Denver Post Joanne Ostrow,Girls,HBO,6
2012,Denver Post Joanne Ostrow,Downton Abbey,PBS,7
2012,Denver Post Joanne Ostrow,Nashville,ABC,8
2012,Denver Post Joanne Ostrow,Episodes,Showtime,9
2012,Denver Post Joanne Ostrow,Revenge,ABC,10
2012,Entertainment Weekly Ken Tucker,Homeland,Showtime,1
2012,Entertainment Weekly Ken Tucker,Breaking Bad,AMC,2
2012,Entertainment Weekly Ken Tucker,Louie,FX,3
2012,Entertainment Weekly Ken Tucker,Girls,HBO,4
2012,Entertainment Weekly Ken Tucker,Mad Men,AMC,5
2012,Entertainment Weekly Ken Tucker,The Colbert Report,Comedy Central,6
2012,Entertainment Weekly Ken Tucker,Parks and Recreation,NBC,7
2012,Entertainment Weekly Ken Tucker,Justified,FX,8
2012,Entertainment Weekly Ken Tucker,The Good Wife,CBS,9
2012,Entertainment Weekly Ken Tucker,Nashville,ABC,10
2012,Film School Rejects Amber Humphrey,Breaking Bad,AMC,1
2012,Film School Rejects Amber Humphrey,Homeland,Showtime,2
2012,Film School Rejects Amber Humphrey,Louie,FX,3
2012,Film School Rejects Amber Humphrey,Parenthood,NBC,4
2012,Film School Rejects Amber Humphrey,Game of Thrones,HBO,5
2012,Film School Rejects Amber Humphrey,Archer,FX,6
2012,Film School Rejects Amber Humphrey,Sons of Anarchy,FX,7
2012,Film School Rejects Amber Humphrey,Justified,FX,8
2012,Film School Rejects Amber Humphrey,Sherlock,PBS,9
2012,Film School Rejects Amber Humphrey,Parks and Recreation,NBC,10
2012,Filmmaker Dan Schoenbrun,Adventure Time,Cartoon Network,1
2012,Filmmaker Dan Schoenbrun,Mad Men,AMC,2
2012,Filmmaker Dan Schoenbrun,Louie,FX,3
2012,Filmmaker Dan Schoenbrun,Girls,HBO,4
2012,Filmmaker Dan Schoenbrun,Breaking Bad,AMC,5
2012,Filmmaker Dan Schoenbrun,The Eric Andre Show,Adult Swim,6
2012,Filmmaker Dan Schoenbrun,Luck,HBO,7
2012,Filmmaker Dan Schoenbrun,Sex House,online at The Onion,8
2012,Filmmaker Dan Schoenbrun,Parks and Recreation,NBC,9
2012,Filmmaker Dan Schoenbrun,Game of Thrones,HBO,10
2012,Grantland Andy Greenwald,Mad Men,AMC,1
2012,Grantland Andy Greenwald,Happy Endings,ABC,2
2012,Grantland Andy Greenwald,Homeland,Showtime,3
2012,Grantland Andy Greenwald,30 Rock,NBC,4
2012,Grantland Andy Greenwald,Breaking Bad,AMC,5
2012,Grantland Andy Greenwald,Parks and Recreation,NBC,6
2012,Grantland Andy Greenwald,New Girl,Fox,7
2012,Grantland Andy Greenwald,Sherlock,PBS,8
2012,Grantland Andy Greenwald,Girls,HBO,9
2012,Grantland Andy Greenwald,Bent,NBC,10
2012,HitFix Daniel Fienberg,Mad Men,AMC,1
2012,HitFix Daniel Fienberg,Louie,FX,2
2012,HitFix Daniel Fienberg,On Freddie Roach,HBO,3
2012,HitFix Daniel Fienberg,Treme,HBO,4
2012,HitFix Daniel Fienberg,Parks and Recreation,NBC,5
2012,HitFix Daniel Fienberg,Breaking Bad,AMC,6
2012,HitFix Daniel Fienberg,Game of Thrones,HBO,7
2012,HitFix Daniel Fienberg,Girls,HBO,8
2012,HitFix Daniel Fienberg,30 for 30,ESPN,9
2012,HitFix Daniel Fienberg,The Hour,BBC America,10
2012,HitFix Alan Sepinwall,Mad Men,AMC,1
2012,HitFix Alan Sepinwall,Breaking Bad,AMC,2
2012,HitFix Alan Sepinwall,Parks and Recreation,NBC,3
2012,HitFix Alan Sepinwall,30 Rock,NBC,4
2012,HitFix Alan Sepinwall,Girls,HBO,5
2012,HitFix Alan Sepinwall,Louie,FX,6
2012,HitFix Alan Sepinwall,Luck,HBO,7
2012,HitFix Alan Sepinwall,Treme,HBO,8
2012,HitFix Alan Sepinwall,Parenthood,NBC,9
2012,HitFix Alan Sepinwall,Homeland,Showtime,10
2012,Houston Chronicle Therese Odell,The Walking Dead,AMC,1
2012,Houston Chronicle Therese Odell,Girls,HBO,2
2012,Houston Chronicle Therese Odell,Game of Thrones,HBO,3
2012,Houston Chronicle Therese Odell,Mad Men,AMC,4
2012,Houston Chronicle Therese Odell,Homeland,Showtime,5
2012,Houston Chronicle Therese Odell,Parks and Recreation,NBC,6
2012,Houston Chronicle Therese Odell,Downton Abbey,PBS,7
2012,Houston Chronicle Therese Odell,Veep,HBO,8
2012,Houston Chronicle Therese Odell,Louie,FX,9
2012,Houston Chronicle Therese Odell,Fringe,Fox,10
2012,Lincoln Journal Star Jeff Korbelik,Breaking Bad,AMC,1
2012,Lincoln Journal Star Jeff Korbelik,The Walking Dead,AMC,2
2012,Lincoln Journal Star Jeff Korbelik,Longmire,A&E,3
2012,Lincoln Journal Star Jeff Korbelik,Homeland,Showtime,4
2012,Lincoln Journal Star Jeff Korbelik,Sons of Anarchy,FX,5
2012,Lincoln Journal Star Jeff Korbelik,Modern Family,ABC,6
2012,Lincoln Journal Star Jeff Korbelik,The Good Wife,CBS,7
2012,Lincoln Journal Star Jeff Korbelik,Downton Abbey,PBS,8
2012,Lincoln Journal Star Jeff Korbelik,Mad Men,AMC,9
2012,Lincoln Journal Star Jeff Korbelik,Southland,TNT,10
2012,Miami Herald Glenn Garvin,Homeland,Showtime,1
2012,Miami Herald Glenn Garvin,Dexter,Showtime,2
2012,Miami Herald Glenn Garvin,The Good Wife,CBS,3
2012,Miami Herald Glenn Garvin,Breaking Bad,AMC,4
2012,Miami Herald Glenn Garvin,Modern Family,ABC,5
2012,Miami Herald Glenn Garvin,Hell on Wheels,AMC,6
2012,Miami Herald Glenn Garvin,Boss,Starz,7
2012,Miami Herald Glenn Garvin,The Big Bang Theory,CBS,8
2012,Miami Herald Glenn Garvin,Mad Men,AMC,9
2012,Miami Herald Glenn Garvin,Boardwalk Empire,HBO,10
2012,The New Republic Laura Bennett,Louie,FX,1
2012,The New Republic Laura Bennett,Episodes,Showtime,2
2012,The New Republic Laura Bennett,Saturday Night Live,NBC,3
2012,The New Republic Laura Bennett,Girls,HBO,4
2012,The New Republic Laura Bennett,Late Night with Jimmy Fallon,NBC,5
2012,The New Republic Laura Bennett,Game of Thrones,HBO,6
2012,The New Republic Laura Bennett,"Widerøe Airlines's ""Grandpa's Magic Trick"" commercialHomeland",Showtime,7
2012,The New Republic Laura Bennett,Parks and Recreation,NBC,8
2012,The New Republic Laura Bennett,Fox News election night coverage,,9
2012,The New York Times Mike Hale,Sherlock,PBS,1
2012,The New York Times Mike Hale,Southland,TNT,2
2012,The New York Times Mike Hale,Louie,FX,3
2012,The New York Times Mike Hale,The Killing,AMC,5
2012,The New York Times Mike Hale,Adventure Time,Cartoon Network,6
2012,The New York Times Mike Hale,Dexter,Showtime,7
2012,The New York Times Mike Hale,Moyers & Company,PBS,8
2012,The New York Times Mike Hale,Homeland,Showtime,9
2012,The New York Times Mike Hale,The Good Wife,CBS,10
2012,Newsday Verne Gay,Breaking Bad,AMC,1
2012,Newsday Verne Gay,Game of Thrones,HBO,2
2012,Newsday Verne Gay,Mad Men,AMC,3
2012,Newsday Verne Gay,Louie,FX,4
2012,Newsday Verne Gay,Frozen Planet,Discovery,5
2012,Newsday Verne Gay,Boardwalk Empire,HBO,6
2012,Newsday Verne Gay,Community,NBC,7
2012,Newsday Verne Gay,Portlandia,IFC,8
2012,Newsday Verne Gay,30 Rock,NBC,9
2012,Newsday Verne Gay,The Walking Dead,AMC,10
2012,NPR (Fresh Air)/TV Worth Watching David Bianculli,Breaking Bad,AMC,1
2012,NPR (Fresh Air)/TV Worth Watching David Bianculli,Mad Men,AMC,2
2012,NPR (Fresh Air)/TV Worth Watching David Bianculli,The Colbert Report,Comedy Central,3
2012,NPR (Fresh Air)/TV Worth Watching David Bianculli,The Good Wife,CBS,4
2012,NPR (Fresh Air)/TV Worth Watching David Bianculli,The Daily Show with Jon Stewart,Comedy Central,5
2012,NPR (Fresh Air)/TV Worth Watching David Bianculli,Louie,FX,6
2012,NPR (Fresh Air)/TV Worth Watching David Bianculli,Parenthood,NBC,7
2012,NPR (Fresh Air)/TV Worth Watching David Bianculli,The Walking Dead,AMC,8
2012,NPR (Fresh Air)/TV Worth Watching David Bianculli,Modern Family,ABC,9
2012,The Oregonian Kristi Turnquist,Mad Men,AMC,1
2012,The Oregonian Kristi Turnquist,Breaking Bad,AMC,2
2012,The Oregonian Kristi Turnquist,Louie,FX,3
2012,The Oregonian Kristi Turnquist,Downton Abbey,PBS,4
2012,The Oregonian Kristi Turnquist,Game of Thrones,HBO,5
2012,The Oregonian Kristi Turnquist,Portlandia,IFC,7
2012,The Oregonian Kristi Turnquist,Sherlock,PBS,9
2012,The Oregonian Kristi Turnquist,Girls,HBO,10
2012,Orlando Sentinel Hal Boedeker,Homeland,Showtime,1
2012,Orlando Sentinel Hal Boedeker,Downton Abbey,PBS,2
2012,Orlando Sentinel Hal Boedeker,The Walking Dead,AMC,3
2012,Orlando Sentinel Hal Boedeker,The Good Wife,CBS,4
2012,Orlando Sentinel Hal Boedeker,The Big Bang Theory,CBS,5
2012,Orlando Sentinel Hal Boedeker,Mad Men,AMC,6
2012,Orlando Sentinel Hal Boedeker,Modern Family,ABC,7
2012,Orlando Sentinel Hal Boedeker,The Middle,ABC,8
2012,Orlando Sentinel Hal Boedeker,Breaking Bad,AMC,9
2012,Orlando Sentinel Hal Boedeker,Person of Interest,CBS,10
2012,Paste Josh Jackson,Breaking Bad,AMC,1
2012,Paste Josh Jackson,Parks and Recreation,NBC,2
2012,Paste Josh Jackson,Mad Men,AMC,3
2012,Paste Josh Jackson,Homeland,Showtime,4
2012,Paste Josh Jackson,Community,NBC,5
2012,Paste Josh Jackson,Sherlock,PBS,6
2012,Paste Josh Jackson,New Girl,Fox,7
2012,Paste Josh Jackson,Louie,FX,8
2012,Paste Josh Jackson,Downton Abbey,PBS,9
2012,Paste Josh Jackson,The Walking Dead,AMC,10
2012,The Phoenix [Boston] Eric Gould,Call the Midwife,PBS,1
2012,The Phoenix [Boston] Eric Gould,Mad Men,AMC,2
2012,The Phoenix [Boston] Eric Gould,Louie,FX,3
2012,The Phoenix [Boston] Eric Gould,Breaking Bad,AMC,4
2012,The Phoenix [Boston] Eric Gould,Real Time with Bill Maher,HBO,5
2012,The Phoenix [Boston] Eric Gould,Girls,HBO,6
2012,The Phoenix [Boston] Eric Gould,Awake,NBC,7
2012,The Phoenix [Boston] Eric Gould,Hell on Wheels,AMC,8
2012,The Phoenix [Boston] Eric Gould,Inside Comedy,Showtime,9
2012,The Phoenix [Boston] Eric Gould,Family Guy,Fox,10
2012,Pittsburgh Post-Gazette Rob Owen,Mad Men,AMC,1
2012,Pittsburgh Post-Gazette Rob Owen,Breaking Bad,AMC,2
2012,Pittsburgh Post-Gazette Rob Owen,Boss,Starz,3
2012,Pittsburgh Post-Gazette Rob Owen,Episodes,Showtime,4
2012,Pittsburgh Post-Gazette Rob Owen,Game of Thrones,HBO,5
2012,Pittsburgh Post-Gazette Rob Owen,Downton Abbey,PBS,6
2012,Pittsburgh Post-Gazette Rob Owen,Girls,HBO,7
2012,Pittsburgh Post-Gazette Rob Owen,Raising Hope,Fox,8
2012,Pittsburgh Post-Gazette Rob Owen,The Walking Dead,AMC,9
2012,Pittsburgh Post-Gazette Rob Owen,The Neighbors,ABC,10
2012,PopMatters,Downton Abbey,PBS,1
2012,PopMatters,The Hour,BBC America,2
2012,PopMatters,Sherlock,PBS,3
2012,PopMatters,Justified,FX,4
2012,PopMatters,Nashville,ABC,5
2012,PopMatters,Homeland,Showtime,6
2012,PopMatters,Girls,HBO,7
2012,PopMatters,Mad Men,AMC,8
2012,PopMatters,Breaking Bad,AMC,9
2012,PopMatters,Treme,HBO,10
2012,Salon Willa Paskin,Homeland,Showtime,1
2012,Salon Willa Paskin,Girls,HBO,2
2012,Salon Willa Paskin,Breaking Bad,AMC,3
2012,Salon Willa Paskin,Mad Men,AMC,4
2012,Salon Willa Paskin,Bunheads,ABC Family,5
2012,Salon Willa Paskin,30 Rock,NBC,6
2012,Salon Willa Paskin,Parenthood,NBC,7
2012,Salon Willa Paskin,Louie,FX,8
2012,Salon Willa Paskin,Parks and Recreation,NBC,9
2012,Salon Willa Paskin,Shameless,Showtime,10
2012,The Salt Lake Tribune Scott D. Pierce,Homeland,Showtime,1
2012,The Salt Lake Tribune Scott D. Pierce,The Good Wife,CBS,2
2012,The Salt Lake Tribune Scott D. Pierce,Breaking Bad,AMC,3
2012,The Salt Lake Tribune Scott D. Pierce,Revenge,ABC,4
2012,The Salt Lake Tribune Scott D. Pierce,The Big Bang Theory,CBS,6
2012,The Salt Lake Tribune Scott D. Pierce,Modern Family,ABC,8
2012,The Salt Lake Tribune Scott D. Pierce,New Girl,Fox,10
2012,San Francisco Chronicle David Wiegand,Homeland,Showtime,1
2012,San Francisco Chronicle David Wiegand,Breaking Bad,AMC,2
2012,San Francisco Chronicle David Wiegand,The Hour,BBC America,3
2012,San Francisco Chronicle David Wiegand,The Walking Dead,AMC,4
2012,San Francisco Chronicle David Wiegand,Mad Men,AMC,5
2012,San Francisco Chronicle David Wiegand,Girls,HBO,6
2012,San Francisco Chronicle David Wiegand,Justified,FX,7
2012,San Francisco Chronicle David Wiegand,Sons of Anarchy,FX,8
2012,San Francisco Chronicle David Wiegand,Downton Abbey,PBS,9
2012,San Francisco Chronicle David Wiegand,Southland,TNT,10
2012,Slant Staff consensus,Girls,HBO,1
2012,Slant Staff consensus,Louie,FX,2
2012,Slant Staff consensus,Mad Men,AMC,3
2012,Slant Staff consensus,Homeland,Showtime,4
2012,Slant Staff consensus,Breaking Bad,AMC,5
2012,Slant Staff consensus,Parks and Recreation,NBC,6
2012,Slant Staff consensus,Luck,HBO,7
2012,Slant Staff consensus,Game of Thrones,HBO,8
2012,Slant Staff consensus,Justified,FX,9
2012,Slant Staff consensus,The Walking Dead,AMC,10
2012,St. Louis Post-Dispatch Gail Pennington,The Walking Dead,AMC,1
2012,St. Louis Post-Dispatch Gail Pennington,Breaking Bad,AMC,2
2012,St. Louis Post-Dispatch Gail Pennington,Mad Men,AMC,3
2012,St. Louis Post-Dispatch Gail Pennington,Parks and Recreation,NBC,4
2012,St. Louis Post-Dispatch Gail Pennington,Downton Abbey,PBS,5
2012,St. Louis Post-Dispatch Gail Pennington,Game of Thrones,HBO,6
2012,St. Louis Post-Dispatch Gail Pennington,Parenthood,NBC,7
2012,St. Louis Post-Dispatch Gail Pennington,The Glee Project,Oxygen,8
2012,St. Louis Post-Dispatch Gail Pennington,CBS News Sunday Morning,CBS,9
2012,St. Louis Post-Dispatch Gail Pennington,Homeland,Showtime,10
2012,Time James Poniewozik,Parks and Recreation,NBC,1
2012,Time James Poniewozik,Louie,FX,2
2012,Time James Poniewozik,Homeland,Showtime,3
2012,Time James Poniewozik,Breaking Bad,AMC,4
2012,Time James Poniewozik,Mad Men,AMC,5
2012,Time James Poniewozik,Girls,HBO,6
2012,Time James Poniewozik,Game of Thrones,HBO,7
2012,Time James Poniewozik,Parenthood,NBC,8
2012,Time James Poniewozik,American Horror Story: Asylum,FX,9
2012,TV Guide,Homeland,Showtime,1
2012,TV Guide,Breaking Bad,AMC,2
2012,TV Guide,30 Rock,NBC,3
2012,TV Guide,Mad Men,AMC,4
2012,TV Guide,The Walking Dead,AMC,5
2012,TV Guide,Parenthood,NBC,6
2012,TV Guide,Louie,FX,7
2012,TV Guide,Girls,HBO,8
2012,TV Guide,Game of Thrones,HBO,9
2012,TV Guide,Happy Endings,ABC,10
2012,Uncle Barky Ed Bark,Louie,FX,1
2012,Uncle Barky Ed Bark,Breaking Bad,AMC,2
2012,Uncle Barky Ed Bark,Mad Men,AMC,3
2012,Uncle Barky Ed Bark,Homeland,Showtime,4
2012,Uncle Barky Ed Bark,The Dust Bowl,PBS,5
2012,Uncle Barky Ed Bark,Downton Abbey,PBS,6
2012,Uncle Barky Ed Bark,Treme,HBO,7
2012,Uncle Barky Ed Bark,Girls,HBO,8
2012,Uncle Barky Ed Bark,Justified,FX,9
2012,Uncle Barky Ed Bark,The Middle,ABC,10
2012,Under the Radar,The Walking Dead,AMC,1
2012,Under the Radar,Community,NBC,2
2012,Under the Radar,Homeland,Showtime,3
2012,Under the Radar,Game of Thrones,HBO,4
2012,Under the Radar,Boardwalk Empire,HBO,5
2012,Under the Radar,Louie,FX,6
2012,Under the Radar,Modern Family,ABC,7
2012,Under the Radar,Girls,HBO,8
2012,Under the Radar,Doctor Who,BBC America,9
2012,Under the Radar,New Girl,Fox,10
2012,Vulture Matt Zoller Seitz,Mad Men,AMC,1
2012,Vulture Matt Zoller Seitz,Luck,HBO,2
2012,Vulture Matt Zoller Seitz,Louie,FX,3
2012,Vulture Matt Zoller Seitz,Breaking Bad,AMC,4
2012,Vulture Matt Zoller Seitz,Community,NBC,5
2012,Vulture Matt Zoller Seitz,Treme,HBO,6
2012,Vulture Matt Zoller Seitz,Homeland,Showtime,7
2012,Vulture Matt Zoller Seitz,Archer,FX,8
2012,Vulture Matt Zoller Seitz,Hatfields & McCoys,History,9
2012,Washington Post Hank Stuever,Breaking Bad,AMC,1
2012,Washington Post Hank Stuever,Mad Men,AMC,2
2012,Washington Post Hank Stuever,The Walking Dead,AMC,3
2012,Washington Post Hank Stuever,Homeland,Showtime,4
2012,Washington Post Hank Stuever,Veep,HBO,5
2012,Washington Post Hank Stuever,Dallas,TNT,6
2012,Washington Post Hank Stuever,Girls,HBO,7
2012,Washington Post Hank Stuever,Nashville,ABC,8
2012,Washington Post Hank Stuever,American Horror Story: Asylum,FX,9
2012,Washington Post Hank Stuever,Dish Earth,DISH Network,10
2012,The Wrap Tim Molloy,Boardwalk Empire,HBO,1
2012,The Wrap Tim Molloy,Breaking Bad,AMC,2
2012,The Wrap Tim Molloy,Game of Thrones,HBO,3
2012,The Wrap Tim Molloy,Mad Men,AMC,4
2012,The Wrap Tim Molloy,The Walking Dead,AMC,5
2013,Austin Chronicle Aleksander Chan,Breaking Bad,AMC,1
2013,Austin Chronicle Aleksander Chan,The Good Wife,CBS,2
2013,Austin Chronicle Aleksander Chan,Enlightened,HBO,3
2013,Austin Chronicle Aleksander Chan,Black Mirror,DirecTV,4
2013,Austin Chronicle Aleksander Chan,Bunheads,ABC Family,5
2013,Austin Chronicle Aleksander Chan,Orphan Black,BBC America,6
2013,Austin Chronicle Aleksander Chan,30 Rock,NBC,7
2013,Austin Chronicle Aleksander Chan,Orange Is the New Black,Netflix,8
2013,Austin Chronicle Aleksander Chan,Mad Men,AMC,9
2013,Austin Chronicle Aleksander Chan,Scandal,ABC,10
2013,AV Club s,Enlightened,HBO,1
2013,AV Club s,Breaking Bad,AMC,2
2013,AV Club s,Bob's Burgers,Fox,3
2013,Boston Globe Matthew Gilbert,Breaking Bad,AMC,1
2013,Boston Globe Matthew Gilbert,Orange Is the New Black,Netflix,2
2013,Boston Globe Matthew Gilbert,The Good Wife,CBS,3
2013,Boston Globe Matthew Gilbert,The Americans,FX,4
2013,Boston Globe Matthew Gilbert,Mad Men,AMC,5
2013,Boston Globe Matthew Gilbert,Masters of Sex,Showtime,6
2013,Boston Globe Matthew Gilbert,Vikings,History,7
2013,Boston Globe Matthew Gilbert,Veep,HBO,8
2013,Boston Globe Matthew Gilbert,Behind the Candelabra,HBO,9
2013,Boston Globe Matthew Gilbert,Orphan Black,BBC America,10
2013,Boston Globe Sarah Rodman,Breaking Bad,AMC,1
2013,Boston Globe Sarah Rodman,Game of Thrones,HBO,2
2013,Boston Globe Sarah Rodman,Masters of Sex,Showtime,3
2013,Boston Globe Sarah Rodman,The Good Wife,CBS,4
2013,Boston Globe Sarah Rodman,The Americans,FX,5
2013,Boston Globe Sarah Rodman,Mad Men,AMC,6
2013,Boston Globe Sarah Rodman,Justified,FX,7
2013,Boston Globe Sarah Rodman,Parks and Recreation,NBC,8
2013,Boston Globe Sarah Rodman,Scandal,ABC,9
2013,Boston Globe Sarah Rodman,Key and Peele,Comedy Central,10
2013,Chicago Sun-Times Lori Rackl,Breaking Bad,AMC,1
2013,Chicago Sun-Times Lori Rackl,Game of Thrones,HBO,2
2013,Chicago Sun-Times Lori Rackl,Homeland,Showtime,3
2013,Chicago Sun-Times Lori Rackl,American Horror Story,FX,4
2013,Chicago Sun-Times Lori Rackl,The Americans,FX,5
2013,Chicago Sun-Times Lori Rackl,Parks and Recreation,NBC,6
2013,Chicago Sun-Times Lori Rackl,Mad Men,AMC,7
2013,Chicago Sun-Times Lori Rackl,The Walking Dead,AMC,8
2013,Chicago Sun-Times Lori Rackl,Scandal,ABC,9
2013,Chicago Sun-Times Lori Rackl,Downton Abbey,PBS,10
2013,Cleveland Plain Dealer Mark Dawidziak,Justified,FX,1
2013,Cleveland Plain Dealer Mark Dawidziak,House of Cards,Netflix,2
2013,Cleveland Plain Dealer Mark Dawidziak,Masters of Sex,Showtime,3
2013,Cleveland Plain Dealer Mark Dawidziak,Breaking Bad,AMC,4
2013,Cleveland Plain Dealer Mark Dawidziak,Ray Donovan,Showtime,5
2013,Cleveland Plain Dealer Mark Dawidziak,The Blacklist,NBC,6
2013,Cleveland Plain Dealer Mark Dawidziak,The Middle,ABC,7
2013,Cleveland Plain Dealer Mark Dawidziak,Downton Abbey,PBS,8
2013,Cleveland Plain Dealer Mark Dawidziak,Parenthood,NBC,9
2013,Cleveland Plain Dealer Mark Dawidziak,The Walking Dead,AMC,10
2013,Complex,Breaking Bad,AMC,1
2013,Complex,Game of Thrones,HBO,2
2013,Complex,American Horror Story,FX,3
2013,Complex,Orange Is the New Black,Netflix,4
2013,Complex,Boardwalk Empire,HBO,5
2013,Complex,New Girl,Fox,6
2013,Complex,Love and Hip-Hop: Atlanta,VH1,7
2013,Complex,Veep,HBO,8
2013,Complex,Eastbound & Down,HBO,9
2013,Complex,Orphan Black,BBC America,10
2013,Contra Costa Times Chuck Barney,Breaking Bad,AMC,1
2013,Contra Costa Times Chuck Barney,Masters of Sex,Showtime,2
2013,Contra Costa Times Chuck Barney,Game of Thrones,HBO,3
2013,Contra Costa Times Chuck Barney,Orange Is the New Black,Netflix,4
2013,Contra Costa Times Chuck Barney,The Good Wife,CBS,5
2013,Contra Costa Times Chuck Barney,House of Cards,Netflix,6
2013,Contra Costa Times Chuck Barney,Mad Men,AMC,7
2013,Contra Costa Times Chuck Barney,The Americans,FX,8
2013,Contra Costa Times Chuck Barney,Broadchurch,BBC America,9
2013,Contra Costa Times Chuck Barney,The Returned,Sundance,10
2013,The Daily Beast Kevin Fallon,Orange Is the New Black,Netflix,1
2013,The Daily Beast Kevin Fallon,Breaking Bad,AMC,2
2013,The Daily Beast Kevin Fallon,Bob's Burgers,Fox,3
2013,The Daily Beast Kevin Fallon,Veep,HBO,4
2013,The Daily Beast Kevin Fallon,The Good Wife,CBS,5
2013,The Daily Beast Kevin Fallon,Shameless,Showtime,6
2013,The Daily Beast Kevin Fallon,Parks and Recreation,NBC,7
2013,The Daily Beast Kevin Fallon,Scandal,ABC,8
2013,The Daily Beast Kevin Fallon,American Horror Story,FX,9
2013,Film School Rejects Inkoo Kang,Breaking Bad,AMC,1
2013,Film School Rejects Inkoo Kang,Orange Is the New Black,Netflix,2
2013,Film School Rejects Inkoo Kang,Game of Thrones,HBO,3
2013,Film School Rejects Inkoo Kang,Scandal,ABC,4
2013,Film School Rejects Inkoo Kang,Enlightened,HBO,5
2013,Film School Rejects Inkoo Kang,Masters of Sex,Showtime,6
2013,Film School Rejects Inkoo Kang,Eastbound & Down,HBO,7
2013,Film School Rejects Inkoo Kang,The Bridge,FX,8
2013,Film School Rejects Inkoo Kang,Mad Men,AMC,9
2013,Film School Rejects Inkoo Kang,Girls,HBO,10
2013,Filmmaker Magazine Dan Schoenbrun,Enlightened,HBO,1
2013,Filmmaker Magazine Dan Schoenbrun,The Eric Andre Show,Adult Swim,2
2013,Filmmaker Magazine Dan Schoenbrun,Breaking Bad,AMC,3
2013,Filmmaker Magazine Dan Schoenbrun,Hannibal,NBC,4
2013,Filmmaker Magazine Dan Schoenbrun,Rectify,Sundance,5
2013,Filmmaker Magazine Dan Schoenbrun,Mad Men,AMC,6
