zip,value
30079,43
30080,50
30082,50
30303,43
30305,43
30306,43
30307,43
30308,43
30309,43
30312,43
30313,43
30314,43
30316,43
30317,43
30318,43
30319,50
30322,43
30324,43
30326,43
30327,50
30328,50
30329,43
30332,43
30334,43
30338,50
30339,50
30340,50
30341,50
30342,50
30345,50
30346,50
30350,50
30360,50
30363,43
33101,79
33122,79
33125,79
33126,79
33127,79
33128,79
33129,79
33130,79
33131,79
33132,79
33133,79
33134,79
33135,79
33136,79
33137,79
33138,87
33139,79
33140,79
33141,87
33142,79
33144,79
33145,79
33146,79
33149,79
33150,87
33154,87
33155,79
33160,87
33161,87
33162,87
33168,87
33169,87
33179,87
33180,87
33181,87
46032,91
46033,91
46037,91
46038,91
46202,91
46204,91
46205,91
46208,91
46220,91
46228,91
46240,91
46250,91
46254,91
46256,91
46260,91
46268,91
46280,91
46290,91
48009,88
48025,88
48034,88
48067,88
48073,88
48076,88
48083,88
48085,88
48103,89
48104,89
48105,89
48108,89
48109,89
48118,89
48130,89
48170,89
48176,89
48197,89
48198,89
48301,88
48302,88
48304,88
48309,88
48320,92
48322,92
48323,92
48324,92
48328,92
48331,92
48334,92
48336,92
48377,92
48382,92
48390,92
55104,76
55114,76
55305,76
55343,76
55401,76
55402,76
55403,76
55404,76
55405,76
55406,76
55407,76
55408,76
55409,76
55410,76
55414,76
55415,76
55416,76
55417,76
55419,76
55423,76
55424,76
55426,76
55435,76
55436,76
55439,76
55454,76
55455,76
60015,71
60022,70
60025,70
60026,70
60030,72
60035,71
60037,71
60040,71
60043,14
60044,71
60045,71
60047,74
60048,72
60060,72
60061,71
60062,70
60065,70
60069,71
60070,70
60076,14
60077,14
60089,74
60090,70
60091,14
60093,14
60126,82
60181,82
60201,14
60202,14
60203,14
60208,14
60431,102
60435,102
60504,81
60514,82
60515,82
60516,82
60521,82
60523,82
60527,82
60532,81
60540,81
60544,102
60555,81
60559,82
60563,81
60564,81
60565,81
60585,102
60586,102
60601,107
60602,107
60603,107
60604,107
60605,107
60606,107
60607,107
60608,107
60610,107
60611,107
60612,107
60613,106
60614,106
60615,28
60616,107
60618,106
60622,107
60625,106
60626,14
60630,106
60637,28
60640,106
60641,106
60642,107
60645,14
60647,106
60654,107
60657,106
60659,106
60660,106
60661,107
60712,14
77002,53
77003,53
77004,53
77005,53
77006,53
77007,53
77008,53
77009,53
77010,53
77019,53
77024,59
77025,53
77027,59
77030,53
77042,59
77046,53
77054,53
77055,59
77056,59
77057,59
77063,59
77080,59
77081,59
77098,53
77201,53
77380,94
77381,94
77382,94
77384,94
77385,94
77389,94
77401,59
77450,93
77494,93
78613,40
78660,40
78664,40
78665,40
78680,32
78681,40
78701,32
78702,32
78703,32
78704,32
78705,32
78712,32
78717,40
78721,32
78722,32
78723,32
78726,40
78727,40
78728,40
78729,40
78730,40
78731,32
78732,101
78733,32
78734,101
78735,32
78738,101
78739,32
78741,32
78744,32
78745,32
78746,32
78748,32
78749,32
78750,40
78751,32
78752,32
78753,40
78754,40
78756,32
78757,32
78758,40
78759,40
80026,49
80027,49
80111,42
80113,42
80202,42
80203,42
80204,42
80205,42
80206,42
80207,42
80209,42
80210,42
80211,42
80212,42
80214,42
80216,42
80218,42
80219,42
80220,42
80222,42
80223,42
80224,42
80230,42
80231,42
80237,42
80238,42
80246,42
80247,42
80264,42
80301,49
80302,49
80303,49
80304,49
80305,49
80310,49
90004,25
