name,url
Eastern Kentucky Colonels,/cbb/schools/eastern-kentucky/
Eastern Michigan Eagles,/cbb/schools/eastern-michigan/
Eastern Washington Eagles,/cbb/schools/eastern-washington/
Elon Phoenix,/cbb/schools/elon/
Emporia State Hornets,/cbb/schools/emporia-state/
Evansville Purple Aces,/cbb/schools/evansville/
Fairfield Stags,/cbb/schools/fairfield/
Fairleigh Dickinson Knights,/cbb/schools/fairleigh-dickinson/
Florida A&M Rattlers,/cbb/schools/florida-am/
Florida Atlantic Owls,/cbb/schools/florida-atlantic/
Florida Gators,/cbb/schools/florida/
Florida Gulf Coast Eagles,/cbb/schools/florida-gulf-coast/
Florida International Panthers,/cbb/schools/florida-international/
Florida State Seminoles,/cbb/schools/florida-state/
Fordham Rams,/cbb/schools/fordham/
Franklin Grizzlies,/cbb/schools/franklin/
Fresno State Bulldogs,/cbb/schools/fresno-state/
Furman Paladins,/cbb/schools/furman/
Gardner-Webb Runnin' Bulldogs,/cbb/schools/gardner-webb/
Geneva Golden Tornadoes,/cbb/schools/geneva/
George Mason Patriots,/cbb/schools/george-mason/
George Washington Colonials,/cbb/schools/george-washington/
Georgetown Hoyas,/cbb/schools/georgetown/
Georgia Bulldogs,/cbb/schools/georgia/
Georgia Southern Eagles,/cbb/schools/georgia-southern/
Georgia State Panthers,/cbb/schools/georgia-state/
Georgia Tech Yellow Jackets,/cbb/schools/georgia-tech/
Gettysburg Bullets,/cbb/schools/gettysburg/
Gonzaga Bulldogs,/cbb/schools/gonzaga/
Grambling Tigers,/cbb/schools/grambling/
Grand Canyon Antelopes,/cbb/schools/grand-canyon/
Green Bay Phoenix,/cbb/schools/green-bay/
Grinnell Pioneers,/cbb/schools/grinnell/
Grove City Wolverines,/cbb/schools/grove-city/
Hamline Pipers,/cbb/schools/hamline/
Hampton Pirates,/cbb/schools/hampton/
Hardin-Simmons Cowboys,/cbb/schools/hardin-simmons/
Hartford Hawks,/cbb/schools/hartford/
Harvard Crimson,/cbb/schools/harvard/
Haskell Indian Nations Institute Fighting Indians,/cbb/schools/haskell-indian-nations-institute/
Hawaii Warriors,/cbb/schools/hawaii/
High Point Panthers,/cbb/schools/high-point/
Hiram Terriers,/cbb/schools/hiram/
Hofstra Pride,/cbb/schools/hofstra/
Holy Cross Crusaders,/cbb/schools/holy-cross/
Hope Flying Dutchmen,/cbb/schools/hope/
Houston Baptist Huskies,/cbb/schools/houston-baptist/
Houston Cougars,/cbb/schools/houston/
Howard Bison,/cbb/schools/howard/
Idaho State Bengals,/cbb/schools/idaho-state/
Idaho Vandals,/cbb/schools/idaho/
Illinois Fighting Illini,/cbb/schools/illinois/
Illinois State Redbirds,/cbb/schools/illinois-state/
Illinois Wesleyan Titans,/cbb/schools/illinois-wesleyan/
Illinois-Chicago Flames,/cbb/schools/illinois-chicago/
Incarnate Word Cardinals,/cbb/schools/incarnate-word/
Indiana Hoosiers,/cbb/schools/indiana/
Indiana State Sycamores,/cbb/schools/indiana-state/
Iona Gaels,/cbb/schools/iona/
Iowa Hawkeyes,/cbb/schools/iowa/
Iowa State Cyclones,/cbb/schools/iowa-state/
IPFW Mastodons,/cbb/schools/ipfw/
IUPUI Jaguars,/cbb/schools/iupui/
Jackson State Tigers,/cbb/schools/jackson-state/
Jacksonville Dolphins,/cbb/schools/jacksonville/
Jacksonville State Gamecocks,/cbb/schools/jacksonville-state/
James Madison Dukes,/cbb/schools/james-madison/
John Carroll Blue Streaks,/cbb/schools/john-carroll/
Kalamazoo Hornets,/cbb/schools/kalamazoo/
Kansas Jayhawks,/cbb/schools/kansas/
Kansas State Wildcats,/cbb/schools/kansas-state/
Kennesaw State Owls,/cbb/schools/kennesaw-state/
Kent State Golden Flashes,/cbb/schools/kent-state/
Kentucky Wesleyan Panthers,/cbb/schools/kentucky-wesleyan/
Kentucky Wildcats,/cbb/schools/kentucky/
La Salle Explorers,/cbb/schools/la-salle/
Lafayette Leopards,/cbb/schools/lafayette/
Lake Forest Foresters,/cbb/schools/lake-forest/
Lamar Cardinals,/cbb/schools/lamar/
Latter Day Saints University ,/cbb/schools/latter-day-saints-university/
Lawrence Vikings,/cbb/schools/lawrence/
Lehigh Mountain Hawks,/cbb/schools/lehigh/
Lewis University Flyers,/cbb/schools/lewis-university/
Liberty Flames,/cbb/schools/liberty/
Lipscomb Bisons,/cbb/schools/lipscomb/
Long Beach State 49ers,/cbb/schools/long-beach-state/
Long Island University Blackbirds,/cbb/schools/long-island-university/
Longwood Lancers,/cbb/schools/longwood/
Louisiana State Fighting Tigers,/cbb/schools/louisiana-state/
Louisiana Tech Bulldogs,/cbb/schools/louisiana-tech/
Louisiana-Lafayette Ragin' Cajuns,/cbb/schools/louisiana-lafayette/
Louisiana-Monroe Warhawks,/cbb/schools/louisiana-monroe/
Louisville Cardinals,/cbb/schools/louisville/
Loyola (IL) Ramblers,/cbb/schools/loyola-il/
Loyola (LA) Wolfpack,/cbb/schools/loyola-la/
Loyola (MD) Greyhounds,/cbb/schools/loyola-md/
Loyola Marymount Lions,/cbb/schools/loyola-marymount/
Macalester Scots,/cbb/schools/macalester/
Maine Black Bears,/cbb/schools/maine/
Manchester Spartans,/cbb/schools/manchester/
Manhattan Jaspers,/cbb/schools/manhattan/
