ID,Posted at,Screen name,Text
788925919239036928,2016-10-20 02:12:51 +0000,nytgraphics,How Iraq plans to take back Mosul from ISIS https://t.co/H0Mgwfwjzl https://t.co/KI1dDmHsUv
788924515455799297,2016-10-20 02:07:16 +0000,nytgraphics,How Donald Trump Uses the Tax Code in Ways You Can’t https://t.co/u51OCHf804
788924321381113857,2016-10-20 02:06:30 +0000,nytgraphics,When presidential nominees have released their tax returns https://t.co/b8uzaWNFUJ https://t.co/2Fv1PUXiex
788912622779437056,2016-10-20 01:20:01 +0000,nytgraphics,Access to abortion clinics in the U.S. https://t.co/hUu1Aans3O https://t.co/bbfwcB4K7w
788909632685236224,2016-10-20 01:08:08 +0000,nytgraphics,How Clinton’s or Trump’s nominees could affect the balance of the Supreme Court https://t.co/4MaFRwYMZq https://t.co/dAGo27Je6q
788450454808166400,2016-10-18 18:43:31 +0000,nytgraphics,Syrian and Russian airstrikes in Aleppo were suspended after a devastating monthlong bombing campaign:… https://t.co/6dRD7QcS3x
788412281239506944,2016-10-18 16:11:50 +0000,nytgraphics,How the battle for Aleppo has taken Syria's war to a new low: https://t.co/wU7F5gnokR
788408061811691520,2016-10-18 15:55:04 +0000,nytgraphics,"Trump wants to return legal immigration to historical norms, but that number has fluctuated widely.… https://t.co/Q6hujdf18N"
788398298226888704,2016-10-18 15:16:16 +0000,nytgraphics,Refugee camps are being expanded and built to handle the influx of people fleeing Mosul. https://t.co/H0Mgwfwjzl https://t.co/DgJG9aYjlc
788396542344458240,2016-10-18 15:09:18 +0000,nytgraphics,How Iraq plans to take back Mosul from ISIS https://t.co/H0Mgwfwjzl https://t.co/VK1tOMD9Pp
788382016165277697,2016-10-18 14:11:34 +0000,nytgraphics,"The Upshot's forecast for the presidential race, mapped: https://t.co/VV6Rhmkazv https://t.co/oTNvL7fst7"
788119090233761797,2016-10-17 20:46:48 +0000,nytgraphics,The ExoMars spacecraft and lander will arrive at Mars on Wednesday. https://t.co/JdZGGrpx68
788091460964847617,2016-10-17 18:57:00 +0000,nytgraphics,How Iraq plans to take back Mosul from ISIS https://t.co/H0MgwfNUqT https://t.co/9KMw5YbYEB
787943483004813312,2016-10-17 09:09:00 +0000,nytgraphics,"The battle for Mosul is expected to be fierce: tunnels, IEDs and trenches filled with oil set ablaze. https://t.co/KZijYkaGJV"
787383914033737728,2016-10-15 20:05:28 +0000,nytgraphics,Here's an inventory of what they have lost and what they still control in Iraq and Syria. https://t.co/vSFLbrvDLL https://t.co/8aS0Y5zmLm
787382764563730432,2016-10-15 20:00:54 +0000,nytgraphics,Today's Baghdad suicide bombing is latest in year of stepped up terror attacks by ISIS as the group shifts strategy… https://t.co/CKmzhNJipj
787032277729550338,2016-10-14 20:48:12 +0000,nytgraphics,The demographics of handgun ownership in the U.S. https://t.co/AjPi7Aubbc https://t.co/pYWOxVUqKa
786996327444086784,2016-10-14 18:25:20 +0000,nytgraphics,"Flood level near Goldsboro, N.C. broke the record set after Hurricane Floyd in 1999. https://t.co/9u7yJpUGyC https://t.co/p5v0gNMBTY"
786916944721084417,2016-10-14 13:09:54 +0000,nytgraphics,RT @nytimes: Handguns are the new home security https://t.co/ApyZJDUFzg https://t.co/utwIP6IGK4
786915437569253376,2016-10-14 13:03:55 +0000,nytgraphics,New study on gun ownership shows Americans are increasingly interested in handguns. https://t.co/AjPi7Aubbc https://t.co/8fPhjWqLs1
786694079275012096,2016-10-13 22:24:19 +0000,nytgraphics,The fatal police shooting of Keith Scott: a 3D reconstruction https://t.co/lHm7uEQJ0R https://t.co/M8lc2dC9PK
786655148944785408,2016-10-13 19:49:37 +0000,nytgraphics,"Hurricane Matthew brought heavy rain in the past week, causing record flooding in North Carolina.… https://t.co/HuJ8RH7DMZ"
786568677235658752,2016-10-13 14:06:01 +0000,nytgraphics,"We reconstructed the scene of the fatal police shooting of Keith Scott in Charlotte, based on the 4 videos released… https://t.co/rrSbaPFvEz"
786540307991048194,2016-10-13 12:13:17 +0000,nytgraphics,Record flooding hits North Carolina days after Hurricane Matthew: https://t.co/9u7yJqchqa https://t.co/4Jzqr1Tu8v
786436926442049536,2016-10-13 05:22:29 +0000,nytgraphics,"A 3D reconstruction of the fatal police shooting of Keith Scott in Charlotte, NC, based on the 4 videos released.… https://t.co/Sdjyyzjo8K"
786406946022780928,2016-10-13 03:23:21 +0000,nytgraphics,Flood level near Goldsboro N.C. broke the record set after Hurricane Floyd in 1999. https://t.co/9u7yJpUGyC https://t.co/dCt3TQiRXG
786404610898530304,2016-10-13 03:14:04 +0000,nytgraphics,"Hurricane Matthew brought heavy rain in the past week, causing record flooding in North Carolina.… https://t.co/Z4HUxahPad"
786399959117664260,2016-10-13 02:55:35 +0000,nytgraphics,Record flooding hits North Carolina days after Hurricane Matthew: https://t.co/9u7yJpUGyC https://t.co/LMj945NtQ3
786188801802510338,2016-10-12 12:56:31 +0000,nytgraphics,What states does Trump need to win the election? Choose a winner state by state to find his paths to victory:… https://t.co/2gs784Itpb
785842410135908352,2016-10-11 14:00:05 +0000,nytgraphics,Photos and Maps of Hurricane Matthew’s Brutal Aftermath in Haiti https://t.co/2OGajPh8IO https://t.co/ISxNejWYix
785830245676888064,2016-10-11 13:11:45 +0000,nytgraphics,@bakkencowboy This graphic only includes people in tight races. John Thune appears here https://t.co/U4u7uZOHtr. Thanks for your comment!
785828484962668544,2016-10-11 13:04:45 +0000,nytgraphics,Some Rs have so carefully threaded the needle it's unclear how they feel about Trump https://t.co/21Ds0fqKwm https://t.co/UIphcdD8CS
785826985276616706,2016-10-11 12:58:47 +0000,nytgraphics,@lisamurkowski and @RosLehtinen are the only Rs in races likely but not certain to remain R who have walked away… https://t.co/MmjhpU4KpF
785823648925888512,2016-10-11 12:45:32 +0000,nytgraphics,GOP candidates running for seats currently held by Rs but most at risk of a D victory are evenly divided on Trump… https://t.co/CRqA6uagPP
785814165973676033,2016-10-11 12:07:51 +0000,nytgraphics,Who's In | Who's out: How House and Senate candidates in the tightest races have reacted to Trump scandal… https://t.co/nSK39ysDZ8
785810960413892609,2016-10-11 11:55:07 +0000,nytgraphics,RT @hfairfield: A lot of GOP House and Senate candidates walked away from Trump. We break it down by the tightness of the race:… https://t.co/XnULbbtMYk
785800280948432896,2016-10-11 11:12:41 +0000,nytgraphics,How do Republicans in competitive House and Senate races stand on Donald Trump? Can depend on how tight the race is… https://t.co/usUilsb3Cf
785680384449245184,2016-10-11 03:16:15 +0000,nytgraphics,Laying bare the suffering in Western Haiti in the aftermath of Hurricane Matthew: https://t.co/ZEfnIWUBKE https://t.co/eK8JGTh8Fy
785625417671663616,2016-10-10 23:37:50 +0000,nytgraphics,"The towns of Jérémie, Les Cayes and Port Salut in Haiti were devastated by Hurricane Matthew.… https://t.co/N3LxgQ5MPT"
785534613699559424,2016-10-10 17:37:01 +0000,nytgraphics,What states does Clinton need to win the election? Choose a winner state by state to find her paths to victory:… https://t.co/uM1ehjlCcD
785527246077497347,2016-10-10 17:07:44 +0000,nytgraphics,A timeline of when more than 160 Republican leaders broke with Trump: https://t.co/gNL5SbdZzO https://t.co/oWdcsBVTW6
785519026562797568,2016-10-10 16:35:04 +0000,nytgraphics,"Ryan and McConnell have repeatedly condemned statements by Trump, but they have not rescinded their endorsements… https://t.co/HJ6QBPHJZ9"
785300430213570560,2016-10-10 02:06:27 +0000,nytgraphics,Can you tell which question Trump or Clinton were answering? https://t.co/M7Mc1akQBW
