year,league,round,seriesLink,winner,loser
1996,NBA,Western Conf Semifinals,/playoffs/1996-nba-western-conference-semifinals-jazz-vs-spurs.html,UTA,SAS
1996,NBA,Eastern Conf Finals,/playoffs/1996-nba-eastern-conference-finals-magic-vs-bulls.html,CHI,ORL
1996,NBA,Western Conf Finals,/playoffs/1996-nba-western-conference-finals-jazz-vs-supersonics.html,SEA,UTA
1996,NBA,Finals,/playoffs/1996-nba-finals-supersonics-vs-bulls.html,CHI,SEA
1995,NBA,Eastern Conf First Round,/playoffs/1995-nba-eastern-conference-first-round-bulls-vs-hornets.html,CHI,CHH
1995,NBA,Eastern Conf First Round,/playoffs/1995-nba-eastern-conference-first-round-hawks-vs-pacers.html,IND,ATL
1995,NBA,Eastern Conf First Round,/playoffs/1995-nba-eastern-conference-first-round-cavaliers-vs-knicks.html,NYK,CLE
1995,NBA,Eastern Conf First Round,/playoffs/1995-nba-eastern-conference-first-round-celtics-vs-magic.html,ORL,BOS
1995,NBA,Western Conf First Round,/playoffs/1995-nba-western-conference-first-round-rockets-vs-jazz.html,HOU,UTA
1995,NBA,Western Conf First Round,/playoffs/1995-nba-western-conference-first-round-lakers-vs-supersonics.html,LAL,SEA
1995,NBA,Western Conf First Round,/playoffs/1995-nba-western-conference-first-round-trail-blazers-vs-suns.html,PHO,POR
1995,NBA,Western Conf First Round,/playoffs/1995-nba-western-conference-first-round-nuggets-vs-spurs.html,SAS,DEN
1995,NBA,Eastern Conf Semifinals,/playoffs/1995-nba-eastern-conference-semifinals-pacers-vs-knicks.html,IND,NYK
1995,NBA,Eastern Conf Semifinals,/playoffs/1995-nba-eastern-conference-semifinals-bulls-vs-magic.html,ORL,CHI
1995,NBA,Western Conf Semifinals,/playoffs/1995-nba-western-conference-semifinals-rockets-vs-suns.html,HOU,PHO
1995,NBA,Western Conf Semifinals,/playoffs/1995-nba-western-conference-semifinals-lakers-vs-spurs.html,SAS,LAL
1995,NBA,Eastern Conf Finals,/playoffs/1995-nba-eastern-conference-finals-pacers-vs-magic.html,ORL,IND
1995,NBA,Western Conf Finals,/playoffs/1995-nba-western-conference-finals-rockets-vs-spurs.html,HOU,SAS
1995,NBA,Finals,/playoffs/1995-nba-finals-rockets-vs-magic.html,HOU,ORL
1994,NBA,Eastern Conf First Round,/playoffs/1994-nba-eastern-conference-first-round-heat-vs-hawks.html,ATL,MIA
1994,NBA,Eastern Conf First Round,/playoffs/1994-nba-eastern-conference-first-round-cavaliers-vs-bulls.html,CHI,CLE
1994,NBA,Eastern Conf First Round,/playoffs/1994-nba-eastern-conference-first-round-pacers-vs-magic.html,IND,ORL
1994,NBA,Eastern Conf First Round,/playoffs/1994-nba-eastern-conference-first-round-nets-vs-knicks.html,NYK,NJN
1994,NBA,Western Conf First Round,/playoffs/1994-nba-western-conference-first-round-nuggets-vs-supersonics.html,DEN,SEA
1994,NBA,Western Conf First Round,/playoffs/1994-nba-western-conference-first-round-trail-blazers-vs-rockets.html,HOU,POR
1994,NBA,Western Conf First Round,/playoffs/1994-nba-western-conference-first-round-warriors-vs-suns.html,PHO,GSW
1994,NBA,Western Conf First Round,/playoffs/1994-nba-western-conference-first-round-jazz-vs-spurs.html,UTA,SAS
1994,NBA,Eastern Conf Semifinals,/playoffs/1994-nba-eastern-conference-semifinals-pacers-vs-hawks.html,IND,ATL
1994,NBA,Eastern Conf Semifinals,/playoffs/1994-nba-eastern-conference-semifinals-bulls-vs-knicks.html,NYK,CHI
