series,boxLink
1950-nba-western-division-semifinals-red-skins-vs-olympians.html,195003250INO.html
1951-nba-eastern-division-finals-nationals-vs-knicks.html,195103280NYK.html
1951-nba-eastern-division-finals-nationals-vs-knicks.html,195103290SYR.html
1951-nba-eastern-division-finals-nationals-vs-knicks.html,195103310NYK.html
1951-nba-eastern-division-finals-nationals-vs-knicks.html,195104010SYR.html
1951-nba-eastern-division-finals-nationals-vs-knicks.html,195104040NYK.html
1951-nba-eastern-division-semifinals-knicks-vs-celtics.html,195103200BOS.html
1951-nba-eastern-division-semifinals-knicks-vs-celtics.html,195103220NYK.html
1951-nba-eastern-division-semifinals-nationals-vs-warriors.html,195103200PHW.html
1951-nba-eastern-division-semifinals-nationals-vs-warriors.html,195103220SYR.html
1951-nba-finals-knicks-vs-royals.html,195104070ROC.html
1951-nba-finals-knicks-vs-royals.html,195104080ROC.html
1951-nba-finals-knicks-vs-royals.html,195104110NYK.html
1951-nba-finals-knicks-vs-royals.html,195104130NYK.html
1951-nba-finals-knicks-vs-royals.html,195104150ROC.html
1951-nba-finals-knicks-vs-royals.html,195104180NYK.html
1951-nba-finals-knicks-vs-royals.html,195104210ROC.html
1951-nba-western-division-finals-royals-vs-lakers.html,195103290MNL.html
1951-nba-western-division-finals-royals-vs-lakers.html,195103310MNL.html
1951-nba-western-division-finals-royals-vs-lakers.html,195104010ROC.html
1951-nba-western-division-finals-royals-vs-lakers.html,195104030ROC.html
1951-nba-western-division-semifinals-olympians-vs-lakers.html,195103210MNL.html
1951-nba-western-division-semifinals-olympians-vs-lakers.html,195103230INO.html
1951-nba-western-division-semifinals-olympians-vs-lakers.html,195103250MNL.html
1951-nba-western-division-semifinals-pistons-vs-royals.html,195103200ROC.html
1951-nba-western-division-semifinals-pistons-vs-royals.html,195103220FTW.html
1951-nba-western-division-semifinals-pistons-vs-royals.html,195103240ROC.html
1952-nba-eastern-division-finals-knicks-vs-nationals.html,195204020SYR.html
1952-nba-eastern-division-finals-knicks-vs-nationals.html,195204030SYR.html
1952-nba-eastern-division-finals-knicks-vs-nationals.html,195204050NYK.html
1952-nba-eastern-division-finals-knicks-vs-nationals.html,195204080NYK.html
1952-nba-eastern-division-semifinals-knicks-vs-celtics.html,195203190BOS.html
1952-nba-eastern-division-semifinals-knicks-vs-celtics.html,195203230NYK.html
1952-nba-eastern-division-semifinals-knicks-vs-celtics.html,195203260BOS.html
1952-nba-eastern-division-semifinals-warriors-vs-nationals.html,195203200SYR.html
1952-nba-eastern-division-semifinals-warriors-vs-nationals.html,195203220PHW.html
1952-nba-eastern-division-semifinals-warriors-vs-nationals.html,195203230SYR.html
1952-nba-finals-knicks-vs-lakers.html,195204120MNL.html
1952-nba-finals-knicks-vs-lakers.html,195204130MNL.html
1952-nba-finals-knicks-vs-lakers.html,195204160NYK.html
1952-nba-finals-knicks-vs-lakers.html,195204180NYK.html
1952-nba-finals-knicks-vs-lakers.html,195204200MNL.html
1952-nba-finals-knicks-vs-lakers.html,195204230NYK.html
1952-nba-finals-knicks-vs-lakers.html,195204250MNL.html
1952-nba-western-division-finals-lakers-vs-royals.html,195203290ROC.html
1952-nba-western-division-finals-lakers-vs-royals.html,195203300ROC.html
1952-nba-western-division-finals-lakers-vs-royals.html,195204050MNL.html
1952-nba-western-division-finals-lakers-vs-royals.html,195204060MNL.html
1952-nba-western-division-semifinals-olympians-vs-lakers.html,195203230MNL.html
1952-nba-western-division-semifinals-olympians-vs-lakers.html,195203250INO.html
1952-nba-western-division-semifinals-pistons-vs-royals.html,195203180ROC.html
1952-nba-western-division-semifinals-pistons-vs-royals.html,195203200FTW.html
1953-nba-eastern-division-finals-celtics-vs-knicks.html,195303250NYK.html
1953-nba-eastern-division-finals-celtics-vs-knicks.html,195303260BOS.html
1953-nba-eastern-division-finals-celtics-vs-knicks.html,195303280NYK.html
1953-nba-eastern-division-finals-celtics-vs-knicks.html,195303290BOS.html
1953-nba-eastern-division-semifinals-bullets-vs-knicks.html,195303170NYK.html
1953-nba-eastern-division-semifinals-bullets-vs-knicks.html,195303200BLB.html
1953-nba-eastern-division-semifinals-celtics-vs-nationals.html,195303190SYR.html
1953-nba-eastern-division-semifinals-celtics-vs-nationals.html,195303210BOS.html
1953-nba-finals-knicks-vs-lakers.html,195304040MNL.html
1953-nba-finals-knicks-vs-lakers.html,195304050MNL.html
1953-nba-finals-knicks-vs-lakers.html,195304070NYK.html
1953-nba-finals-knicks-vs-lakers.html,195304080NYK.html
1953-nba-finals-knicks-vs-lakers.html,195304100NYK.html
1953-nba-western-division-finals-pistons-vs-lakers.html,195303260MNL.html
1953-nba-western-division-finals-pistons-vs-lakers.html,195303280MNL.html
1953-nba-western-division-finals-pistons-vs-lakers.html,195303300FTW.html
1953-nba-western-division-finals-pistons-vs-lakers.html,195304010FTW.html
1953-nba-western-division-finals-pistons-vs-lakers.html,195304020MNL.html
1953-nba-western-division-semifinals-olympians-vs-lakers.html,195303220MNL.html
1953-nba-western-division-semifinals-olympians-vs-lakers.html,195303230INO.html
1953-nba-western-division-semifinals-pistons-vs-royals.html,195303200ROC.html
1953-nba-western-division-semifinals-pistons-vs-royals.html,195303220FTW.html
1953-nba-western-division-semifinals-pistons-vs-royals.html,195303240ROC.html
1954-nba-eastern-division-finals-celtics-vs-nationals.html,195403250SYR.html
1954-nba-eastern-division-finals-celtics-vs-nationals.html,195403270BOS.html
1954-nba-finals-nationals-vs-lakers.html,195403310MNL.html
1954-nba-finals-nationals-vs-lakers.html,195404030MNL.html
1954-nba-finals-nationals-vs-lakers.html,195404040SYR.html
1954-nba-finals-nationals-vs-lakers.html,195404080SYR.html
1954-nba-finals-nationals-vs-lakers.html,195404100SYR.html
1954-nba-finals-nationals-vs-lakers.html,195404110MNL.html
1954-nba-finals-nationals-vs-lakers.html,195404120MNL.html
1954-nba-western-division-finals-royals-vs-lakers.html,195403240MNL.html
1954-nba-western-division-finals-royals-vs-lakers.html,195403270ROC.html
1954-nba-western-division-finals-royals-vs-lakers.html,195403280MNL.html
1955-nba-eastern-division-finals-celtics-vs-nationals.html,195503220SYR.html
1955-nba-eastern-division-finals-celtics-vs-nationals.html,195503240SYR.html
1955-nba-eastern-division-finals-celtics-vs-nationals.html,195503260BOS.html
1955-nba-eastern-division-finals-celtics-vs-nationals.html,195503270BOS.html
1955-nba-eastern-division-semifinals-knicks-vs-celtics.html,195503150BOS.html
1955-nba-eastern-division-semifinals-knicks-vs-celtics.html,195503160NYK.html
1955-nba-eastern-division-semifinals-knicks-vs-celtics.html,195503190NYK.html
1955-nba-finals-pistons-vs-nationals.html,195503310SYR.html
1955-nba-finals-pistons-vs-nationals.html,195504020SYR.html
1955-nba-finals-pistons-vs-nationals.html,195504030FTW.html
1955-nba-finals-pistons-vs-nationals.html,195504050FTW.html
1955-nba-finals-pistons-vs-nationals.html,195504070FTW.html
1955-nba-finals-pistons-vs-nationals.html,195504090SYR.html
1955-nba-finals-pistons-vs-nationals.html,195504100SYR.html
1955-nba-western-division-finals-lakers-vs-pistons.html,195503200FTW.html
1955-nba-western-division-finals-lakers-vs-pistons.html,195503220FTW.html
1955-nba-western-division-finals-lakers-vs-pistons.html,195503230MNL.html
1955-nba-western-division-finals-lakers-vs-pistons.html,195503270MNL.html
1955-nba-western-division-semifinals-royals-vs-lakers.html,195503160MNL.html
1955-nba-western-division-semifinals-royals-vs-lakers.html,195503180ROC.html
1955-nba-western-division-semifinals-royals-vs-lakers.html,195503190MNL.html
1956-nba-eastern-division-finals-nationals-vs-warriors.html,195603230PHW.html
1956-nba-eastern-division-finals-nationals-vs-warriors.html,195603250SYR.html
1956-nba-eastern-division-finals-nationals-vs-warriors.html,195603270PHW.html
1956-nba-eastern-division-finals-nationals-vs-warriors.html,195603280SYR.html
1956-nba-eastern-division-finals-nationals-vs-warriors.html,195603290PHW.html
1956-nba-eastern-division-semifinals-nationals-vs-celtics.html,195603170BOS.html
1956-nba-eastern-division-semifinals-nationals-vs-celtics.html,195603190SYR.html
1956-nba-eastern-division-semifinals-nationals-vs-celtics.html,195603210BOS.html
1956-nba-eastern-division-third-place-tiebreaker-knicks-vs-nationals.html,195603150SYR.html
1956-nba-finals-pistons-vs-warriors.html,195603310PHW.html
1956-nba-finals-pistons-vs-warriors.html,195604010FTW.html
1956-nba-finals-pistons-vs-warriors.html,195604030PHW.html
1956-nba-finals-pistons-vs-warriors.html,195604050FTW.html
1956-nba-finals-pistons-vs-warriors.html,195604070PHW.html
1956-nba-western-division-finals-hawks-vs-pistons.html,195603220FTW.html
1956-nba-western-division-finals-hawks-vs-pistons.html,195603240STL.html
1956-nba-western-division-finals-hawks-vs-pistons.html,195603250FTW.html
1956-nba-western-division-finals-hawks-vs-pistons.html,195603270STL.html
1956-nba-western-division-finals-hawks-vs-pistons.html,195603290FTW.html
1956-nba-western-division-second-place-tiebreaker-lakers-vs-hawks.html,195603160STL.html
1956-nba-western-division-semifinals-lakers-vs-hawks.html,195603170STL.html
1956-nba-western-division-semifinals-lakers-vs-hawks.html,195603190MNL.html
1956-nba-western-division-semifinals-lakers-vs-hawks.html,195603210MNL.html
1957-nba-eastern-division-finals-nationals-vs-celtics.html,195703210BOS.html
1957-nba-eastern-division-finals-nationals-vs-celtics.html,195703230SYR.html
1957-nba-eastern-division-finals-nationals-vs-celtics.html,195703240BOS.html
1957-nba-eastern-division-semifinals-nationals-vs-warriors.html,195703160PHW.html
1957-nba-eastern-division-semifinals-nationals-vs-warriors.html,195703180SYR.html
1957-nba-finals-hawks-vs-celtics.html,195703300BOS.html
1957-nba-finals-hawks-vs-celtics.html,195703310BOS.html
1957-nba-finals-hawks-vs-celtics.html,195704060STL.html
1957-nba-finals-hawks-vs-celtics.html,195704070STL.html
1957-nba-finals-hawks-vs-celtics.html,195704090BOS.html
1957-nba-finals-hawks-vs-celtics.html,195704110STL.html
1957-nba-finals-hawks-vs-celtics.html,195704130BOS.html
1957-nba-western-division-finals-lakers-vs-hawks.html,195703210STL.html
1957-nba-western-division-finals-lakers-vs-hawks.html,195703240STL.html
1957-nba-western-division-finals-lakers-vs-hawks.html,195703250MNL.html
1957-nba-western-division-semifinals-pistons-vs-lakers.html,195703170MNL.html
1957-nba-western-division-semifinals-pistons-vs-lakers.html,195703190FTW.html
1957-nba-western-division-tiebreaker-lakers-vs-hawks.html,195703160STL.html
