year,award,won,name,movie
1927/28 (1st),ACTOR,false,Richard Barthelmess,The Noose
1927/28 (1st),ACTOR,true,Emil Jannings,The Last Command
1927/28 (1st),ACTRESS,false,Louise Dresser,A Ship Comes In
1927/28 (1st),ACTRESS,true,Janet Gaynor,7th Heaven
1927/28 (1st),ACTRESS,false,Gloria Swanson,Sadie Thompson
1927/28 (1st),ART DIRECTION,false,Rochus Gliese,Sunrise
1927/28 (1st),ART DIRECTION,true,William Cameron Menzies,The Dove; and Tempest
1927/28 (1st),ART DIRECTION,false,Harry Oliver,7th Heaven
1927/28 (1st),CINEMATOGRAPHY,false,George Barnes,The Devil Dancer; The Magic Flame; and Sadie Thompson
1927/28 (1st),CINEMATOGRAPHY,true,Charles Rosher,Sunrise
1927/28 (1st),CINEMATOGRAPHY,true,Karl Struss,Sunrise
1927/28 (1st),DIRECTING (Comedy Picture),true,Lewis Milestone,Two Arabian Knights
1927/28 (1st),DIRECTING (Comedy Picture),false,Ted Wilde,Speedy
1927/28 (1st),DIRECTING (Dramatic Picture),true,Frank Borzage,7th Heaven
1927/28 (1st),DIRECTING (Dramatic Picture),false,Herbert Brenon,Sorrell and Son
1927/28 (1st),DIRECTING (Dramatic Picture),false,King Vidor,The Crowd
1927/28 (1st),ENGINEERING EFFECTS,false,Ralph Hammeras,
1927/28 (1st),ENGINEERING EFFECTS,true,Roy Pomeroy,Wings
1927/28 (1st),ENGINEERING EFFECTS,false,Nugent Slaughter,
1927/28 (1st),OUTSTANDING PICTURE,false,The Caddo Company,The Racket
1927/28 (1st),OUTSTANDING PICTURE,false,Fox,7th Heaven
1927/28 (1st),OUTSTANDING PICTURE,true,Paramount Famous Lasky,Wings
1927/28 (1st),UNIQUE AND ARTISTIC PICTURE,true,Fox,Sunrise
1927/28 (1st),UNIQUE AND ARTISTIC PICTURE,false,Metro-Goldwyn-Mayer,The Crowd
1927/28 (1st),UNIQUE AND ARTISTIC PICTURE,false,Paramount Famous Lasky,Chang
1927/28 (1st),WRITING (Adaptation),false,Alfred Cohn,The Jazz Singer
1927/28 (1st),WRITING (Adaptation),false,Anthony Coldeway,Glorious Betsy
1927/28 (1st),WRITING (Adaptation),true,Benjamin Glazer,7th Heaven
1927/28 (1st),WRITING (Original Story),false,Lajos Biro,The Last Command
1927/28 (1st),WRITING (Original Story),true,Ben Hecht,Underworld
1927/28 (1st),WRITING (Title Writing),false,Gerald Duffy,The Private Life of Helen of Troy
1927/28 (1st),WRITING (Title Writing),true,Joseph Farnham,
1927/28 (1st),WRITING (Title Writing),false,"George Marion, Jr.",
1927/28 (1st),SPECIAL AWARD,true,"To Warner Bros., for producing The Jazz Singer, the pioneer outstanding talking picture, which has revolutionized the industry.",
1927/28 (1st),SPECIAL AWARD,true,"To Charles Chaplin, for acting, writing, directing and producing The Circus.",
1928/29 (2nd),ACTOR,false,George Bancroft,Thunderbolt
1928/29 (2nd),ACTOR,true,Warner Baxter,In Old Arizona
1928/29 (2nd),ACTOR,false,Chester Morris,Alibi
1928/29 (2nd),ACTOR,false,Paul Muni,The Valiant
1928/29 (2nd),ACTOR,false,Lewis Stone,The Patriot
1928/29 (2nd),ACTRESS,false,Ruth Chatterton,Madame X
1928/29 (2nd),ACTRESS,false,Betty Compson,The Barker
1928/29 (2nd),ACTRESS,false,Jeanne Eagels,The Letter
1928/29 (2nd),ACTRESS,false,Corinne Griffith,The Divine Lady
1928/29 (2nd),ACTRESS,false,Bessie Love,The Broadway Melody
1928/29 (2nd),ACTRESS,true,Mary Pickford,Coquette
1928/29 (2nd),ART DIRECTION,false,Hans Dreier,The Patriot
1928/29 (2nd),ART DIRECTION,true,Cedric Gibbons,The Bridge of San Luis Rey
1928/29 (2nd),ART DIRECTION,false,Mitchell Leisen,Dynamite
1928/29 (2nd),ART DIRECTION,false,William Cameron Menzies,Alibi; and The Awakening
1928/29 (2nd),ART DIRECTION,false,Harry Oliver,Street Angel
1928/29 (2nd),CINEMATOGRAPHY,false,George Barnes,Our Dancing Daughters
1928/29 (2nd),CINEMATOGRAPHY,true,Clyde De Vinna,White Shadows in the South Seas
1928/29 (2nd),CINEMATOGRAPHY,false,Arthur Edeson,In Old Arizona
1928/29 (2nd),CINEMATOGRAPHY,false,Ernest Palmer,Four Devils; and Street Angel
1928/29 (2nd),CINEMATOGRAPHY,false,John Seitz,The Divine Lady
1928/29 (2nd),DIRECTING,false,Lionel Barrymore,Madame X
1928/29 (2nd),DIRECTING,false,Harry Beaumont,The Broadway Melody
1928/29 (2nd),DIRECTING,false,Irving Cummings,In Old Arizona
1928/29 (2nd),DIRECTING,true,Frank Lloyd,The Divine Lady
1928/29 (2nd),DIRECTING,false,Frank Lloyd,Drag; and Weary River
1928/29 (2nd),DIRECTING,false,Ernst Lubitsch,The Patriot
1928/29 (2nd),OUTSTANDING PICTURE,false,Feature Productions,Alibi
1928/29 (2nd),OUTSTANDING PICTURE,false,Fox,In Old Arizona
1928/29 (2nd),OUTSTANDING PICTURE,true,Metro-Goldwyn-Mayer,The Broadway Melody
1928/29 (2nd),OUTSTANDING PICTURE,false,Metro-Goldwyn-Mayer,Hollywood Revue
1928/29 (2nd),OUTSTANDING PICTURE,false,Paramount Famous Lasky,The Patriot
1928/29 (2nd),WRITING,false,Tom Barry,In Old Arizona; and The Valiant
1928/29 (2nd),WRITING,false,Elliott Clawson,The Cop; The Leatherneck; Sal of Singapore; and Skyscraper
1928/29 (2nd),WRITING,false,Hans Kraly,The Last of Mrs. Cheyney
1928/29 (2nd),WRITING,true,Hans Kraly,The Patriot
1928/29 (2nd),WRITING,false,Josephine Lovett,Our Dancing Daughters
1928/29 (2nd),WRITING,false,Bess Meredyth,A Woman of Affairs; and Wonder of Women
1929/30 (3rd),ACTOR,true,George Arliss,Disraeli
1929/30 (3rd),ACTOR,false,George Arliss,The Green Goddess
1929/30 (3rd),ACTOR,false,Wallace Beery,The Big House
1929/30 (3rd),ACTOR,false,Maurice Chevalier,The Big Pond
1929/30 (3rd),ACTOR,false,Ronald Colman,Bulldog Drummond
1929/30 (3rd),ACTOR,false,Lawrence Tibbett,The Rogue Song
1929/30 (3rd),ACTRESS,false,Nancy Carroll,The Devil's Holiday
1929/30 (3rd),ACTRESS,false,Ruth Chatterton,Sarah and Son
1929/30 (3rd),ACTRESS,false,Greta Garbo,Anna Christie
1929/30 (3rd),ACTRESS,true,Norma Shearer,The Divorcee
1929/30 (3rd),ACTRESS,false,Norma Shearer,Their Own Desire
1929/30 (3rd),ACTRESS,false,Gloria Swanson,The Trespasser
1929/30 (3rd),ART DIRECTION,false,Bulldog Drummond ,(William Cameron Menzies)
1929/30 (3rd),ART DIRECTION,true,King of Jazz ,Herman Rosse
1929/30 (3rd),ART DIRECTION,false,The Love Parade ,(Hans Dreier)
1929/30 (3rd),ART DIRECTION,false,Sally ,(Jack Okey)
1929/30 (3rd),ART DIRECTION,false,The Vagabond King ,(Hans Dreier)
1929/30 (3rd),CINEMATOGRAPHY,false,All Quiet on the Western Front ,(Arthur Edeson)
1929/30 (3rd),CINEMATOGRAPHY,false,Anna Christie ,(William Daniels)
1929/30 (3rd),CINEMATOGRAPHY,false,Hell's Angels ,"(Gaetano Gaudio), (Harry Perry)"
1929/30 (3rd),CINEMATOGRAPHY,false,The Love Parade ,(Victor Milner)
1929/30 (3rd),CINEMATOGRAPHY,true,With Byrd at the South Pole ,"Joseph T. Rucker, Willard Van Der Veer"
1929/30 (3rd),DIRECTING,false,Clarence Brown,Anna Christie; and Romance
1929/30 (3rd),DIRECTING,false,Robert Leonard,The Divorcee
1929/30 (3rd),DIRECTING,false,Ernst Lubitsch,The Love Parade
1929/30 (3rd),DIRECTING,true,Lewis Milestone,All Quiet on the Western Front
1929/30 (3rd),DIRECTING,false,King Vidor,Hallelujah
1929/30 (3rd),OUTSTANDING PRODUCTION,true,All Quiet on the Western Front ,Universal
1929/30 (3rd),OUTSTANDING PRODUCTION,false,The Big House ,Cosmopolitan
1929/30 (3rd),OUTSTANDING PRODUCTION,false,Disraeli ,Warner Bros.
1929/30 (3rd),OUTSTANDING PRODUCTION,false,The Divorcee ,Metro-Goldwyn-Mayer
1929/30 (3rd),OUTSTANDING PRODUCTION,false,The Love Parade ,Paramount Famous Lasky
1929/30 (3rd),SOUND RECORDING,true,The Big House ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1929/30 (3rd),SOUND RECORDING,false,The Case of Sergeant Grischa ,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)"
1929/30 (3rd),SOUND RECORDING,false,The Love Parade ,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)"
1929/30 (3rd),SOUND RECORDING,false,Raffles ,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)"
1929/30 (3rd),SOUND RECORDING,false,Song of the Flame ,"(First National Studio Sound Department, George Groves, Sound Director)"
1929/30 (3rd),WRITING,false,All Quiet on the Western Front ,"(George Abbott), (Maxwell Anderson), (Del Andrews)"
1929/30 (3rd),WRITING,true,The Big House ,Frances Marion
1929/30 (3rd),WRITING,false,Disraeli ,(Julian Josephson)
1929/30 (3rd),WRITING,false,The Divorcee ,(John Meehan)
1929/30 (3rd),WRITING,false,Street of Chance ,(Howard Estabrook)
1930/31 (4th),ACTOR,true,Lionel Barrymore,A Free Soul
1930/31 (4th),ACTOR,false,Jackie Cooper,Skippy
1930/31 (4th),ACTOR,false,Richard Dix,Cimarron
1930/31 (4th),ACTOR,false,Fredric March,The Royal Family of Broadway
1930/31 (4th),ACTOR,false,Adolphe Menjou,The Front Page
1930/31 (4th),ACTRESS,false,Marlene Dietrich,Morocco
1930/31 (4th),ACTRESS,true,Marie Dressler,Min and Bill
1930/31 (4th),ACTRESS,false,Irene Dunne,Cimarron
1930/31 (4th),ACTRESS,false,Ann Harding,Holiday
1930/31 (4th),ACTRESS,false,Norma Shearer,A Free Soul
1930/31 (4th),ART DIRECTION,true,Cimarron ,Max Rée
1930/31 (4th),ART DIRECTION,false,Just Imagine ,"Stephen Goosson, Ralph Hammeras"
1930/31 (4th),ART DIRECTION,false,Morocco ,Hans Dreier
1930/31 (4th),ART DIRECTION,false,Svengali ,Anton Grot
1930/31 (4th),ART DIRECTION,false,Whoopee! ,Richard Day
1930/31 (4th),CINEMATOGRAPHY,false,Cimarron ,Edward Cronjager
1930/31 (4th),CINEMATOGRAPHY,false,Morocco ,Lee Garmes
1930/31 (4th),CINEMATOGRAPHY,false,The Right to Love ,Charles Lang
1930/31 (4th),CINEMATOGRAPHY,false,Svengali ,Barney Chick McGill
1930/31 (4th),CINEMATOGRAPHY,true,Tabu ,Floyd Crosby
1930/31 (4th),DIRECTING,false,Cimarron ,Wesley Ruggles
1930/31 (4th),DIRECTING,false,A Free Soul ,Clarence Brown
1930/31 (4th),DIRECTING,false,The Front Page ,Lewis Milestone
1930/31 (4th),DIRECTING,false,Morocco ,Josef Von Sternberg
1930/31 (4th),DIRECTING,true,Skippy ,Norman Taurog
1930/31 (4th),OUTSTANDING PRODUCTION,true,Cimarron ,RKO Radio
1930/31 (4th),OUTSTANDING PRODUCTION,false,East Lynne ,Fox
1930/31 (4th),OUTSTANDING PRODUCTION,false,The Front Page ,The Caddo Company
1930/31 (4th),OUTSTANDING PRODUCTION,false,Skippy ,Paramount Publix
1930/31 (4th),OUTSTANDING PRODUCTION,false,Trader Horn ,Metro-Goldwyn-Mayer
1930/31 (4th),SOUND RECORDING,false,Samuel Goldwyn - United Artists Studio Sound Department,
1930/31 (4th),SOUND RECORDING,false,Metro-Goldwyn-Mayer Studio Sound Department,
1930/31 (4th),SOUND RECORDING,true,Paramount Publix Studio Sound Department,
1930/31 (4th),SOUND RECORDING,false,RKO Radio Studio Sound Department,
1930/31 (4th),WRITING (Adaptation),true,Cimarron ,Howard Estabrook
1930/31 (4th),WRITING (Adaptation),false,The Criminal Code ,"Seton I. Miller, Fred Niblo, Jr."
1930/31 (4th),WRITING (Adaptation),false,Holiday ,Horace Jackson
1930/31 (4th),WRITING (Adaptation),false,Little Caesar ,"Francis Faragoh, Robert N. Lee"
1930/31 (4th),WRITING (Adaptation),false,Skippy ,"Joseph L. Mankiewicz, Sam Mintz"
1930/31 (4th),WRITING (Original Story),true,The Dawn Patrol ,John Monk Saunders
1930/31 (4th),WRITING (Original Story),false,The Doorway to Hell ,Rowland Brown
1930/31 (4th),WRITING (Original Story),false,Laughter ,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart"
1930/31 (4th),WRITING (Original Story),false,The Public Enemy ,"John Bright, Kubec Glasmon"
1930/31 (4th),WRITING (Original Story),false,Smart Money ,"Lucien Hubbard, Joseph Jackson"
1930/31 (4th),SCIENTIFIC OR TECHNICAL AWARD (Class I),true,"To ELECTRICAL RESEARCH PRODUCTS, INC., RCA-PHOTOPHONE, INC. and RKO RADIO PICTURES, INC., for noise reduction recording equipment. [Sound]",
1930/31 (4th),SCIENTIFIC OR TECHNICAL AWARD (Class I),true,To DuPONT FILM MANUFACTURING CORP. and EASTMAN KODAK COMPANY for super-sensitive panchromatic film. [Film],
1930/31 (4th),SCIENTIFIC OR TECHNICAL AWARD (Class II),true,To FOX FILM CORP. for effective use of synchro-projection composite photography. [Sound],
1930/31 (4th),SCIENTIFIC OR TECHNICAL AWARD (Class III),true,"To ELECTRICAL RESEARCH PRODUCTS, INC. for moving coil microphone transmitters. [Sound]",
1930/31 (4th),SCIENTIFIC OR TECHNICAL AWARD (Class III),true,"To RKO RADIO PICTURES, INC. for reflex type microphone concentrators. [Sound]",
1930/31 (4th),SCIENTIFIC OR TECHNICAL AWARD (Class III),true,"To RCA-PHOTOPHONE, INC. for ribbon microphone transmitters. [Sound]",
1931/32 (5th),ACTOR,true,Wallace Beery,The Champ
1931/32 (5th),ACTOR,false,Alfred Lunt,The Guardsman
1931/32 (5th),ACTOR,true,Fredric March,Dr. Jekyll and Mr. Hyde
1931/32 (5th),ACTRESS,false,Marie Dressler,Emma
1931/32 (5th),ACTRESS,false,Lynn Fontanne,The Guardsman
1931/32 (5th),ACTRESS,true,Helen Hayes,The Sin of Madelon Claudet
1931/32 (5th),ART DIRECTION,false,À Nous la Liberté ,Lazare Meerson
1931/32 (5th),ART DIRECTION,false,Arrowsmith ,Richard Day
1931/32 (5th),ART DIRECTION,true,Transatlantic ,Gordon Wiles
1931/32 (5th),CINEMATOGRAPHY,false,Arrowsmith ,Ray June
1931/32 (5th),CINEMATOGRAPHY,false,Dr. Jekyll and Mr. Hyde ,Karl Struss
1931/32 (5th),CINEMATOGRAPHY,true,Shanghai Express ,Lee Garmes
1931/32 (5th),DIRECTING,true,Bad Girl ,Frank Borzage
1931/32 (5th),DIRECTING,false,The Champ ,King Vidor
1931/32 (5th),DIRECTING,false,Shanghai Express ,Josef Von Sternberg
1931/32 (5th),OUTSTANDING PRODUCTION,false,Arrowsmith ,Samuel Goldwyn Productions
1931/32 (5th),OUTSTANDING PRODUCTION,false,Bad Girl ,Fox
1931/32 (5th),OUTSTANDING PRODUCTION,false,The Champ ,Metro-Goldwyn-Mayer
1931/32 (5th),OUTSTANDING PRODUCTION,false,Five Star Final ,First National
1931/32 (5th),OUTSTANDING PRODUCTION,true,Grand Hotel ,Metro-Goldwyn-Mayer
1931/32 (5th),OUTSTANDING PRODUCTION,false,One Hour with You ,Paramount Publix
1931/32 (5th),OUTSTANDING PRODUCTION,false,Shanghai Express ,Paramount Publix
1931/32 (5th),OUTSTANDING PRODUCTION,false,The Smiling Lieutenant ,Paramount Publix
1931/32 (5th),SHORT SUBJECT (Cartoon),true,Flowers and Trees ,"Walt Disney, Producer"
1931/32 (5th),SHORT SUBJECT (Cartoon),false,It's Got Me Again ,"Leon Schlesinger, Producer"
1931/32 (5th),SHORT SUBJECT (Cartoon),false,Mickey's Orphans ,"Walt Disney, Producer"
1931/32 (5th),SHORT SUBJECT (Comedy),false,The Loud Mouth ,"Mack Sennett, Producer"
1931/32 (5th),SHORT SUBJECT (Comedy),true,The Music Box ,"Hal Roach, Producer"
1931/32 (5th),SHORT SUBJECT (Comedy),false,Scratch-As-Catch-Can ,RKO Radio
1931/32 (5th),SHORT SUBJECT (Comedy),false,Stout Hearts and Willing Hands ,RKO Radio
1931/32 (5th),SHORT SUBJECT (Novelty),false,Screen Souvenirs ,Paramount Publix
1931/32 (5th),SHORT SUBJECT (Novelty),false,Swing High ,Metro-Goldwyn-Mayer
1931/32 (5th),SHORT SUBJECT (Novelty),true,Wrestling Swordfish ,"Mack Sennett, Producer"
1931/32 (5th),SOUND RECORDING,false,Metro-Goldwyn-Mayer Studio Sound Department,
1931/32 (5th),SOUND RECORDING,true,Paramount Publix Studio Sound Department,
1931/32 (5th),SOUND RECORDING,false,RKO Radio Studio Sound Department,
1931/32 (5th),SOUND RECORDING,false,Warner Bros.-First National Studio Sound Department,
1931/32 (5th),WRITING (Adaptation),false,Arrowsmith ,Sidney Howard
1931/32 (5th),WRITING (Adaptation),true,Bad Girl ,Edwin Burke
1931/32 (5th),WRITING (Adaptation),false,Dr. Jekyll and Mr. Hyde ,"Percy Heath, Samuel Hoffenstein"
1931/32 (5th),WRITING (Original Story),true,The Champ ,Frances Marion
1931/32 (5th),WRITING (Original Story),false,Lady and Gent ,"Grover Jones, William Slavens McNutt"
1931/32 (5th),WRITING (Original Story),false,The Star Witness ,Lucien Hubbard
1931/32 (5th),WRITING (Original Story),false,What Price Hollywood? ,"Adela Rogers St. Johns, Jane Murfin"
1931/32 (5th),SPECIAL AWARD,true,"To Walt Disney for the creation of ""Mickey Mouse.""",
1931/32 (5th),SCIENTIFIC OR TECHNICAL AWARD (Class II),true,To TECHNICOLOR MOTION PICTURE CORP. for its color cartoon process. [Cartoon Process],
1931/32 (5th),SCIENTIFIC OR TECHNICAL AWARD (Class III),true,To EASTMAN KODAK COMPANY for its Type II-B Sensitometer. [Laboratory],
1932/33 (6th),ACTOR,false,Leslie Howard,Berkeley Square
1932/33 (6th),ACTOR,true,Charles Laughton,The Private Life of Henry VIII
1932/33 (6th),ACTOR,false,Paul Muni,I Am a Fugitive from a Chain Gang
1932/33 (6th),ACTRESS,true,Katharine Hepburn,Morning Glory
1932/33 (6th),ACTRESS,false,May Robson,Lady for a Day
1932/33 (6th),ACTRESS,false,Diana Wynyard,Cavalcade
1932/33 (6th),ART DIRECTION,true,Cavalcade ,William S. Darling
1932/33 (6th),ART DIRECTION,false,A Farewell to Arms ,"Hans Dreier, Roland Anderson [came in 2nd]"
1932/33 (6th),ART DIRECTION,false,When Ladies Meet ,Cedric Gibbons [came in 3rd]
1932/33 (6th),ASSISTANT DIRECTOR,false,Percy Ikerd (Fox),
1932/33 (6th),ASSISTANT DIRECTOR,true,William Tummel (Fox),
1932/33 (6th),ASSISTANT DIRECTOR,true,Charles Dorian (Metro-Goldwyn-Mayer),
1932/33 (6th),ASSISTANT DIRECTOR,false,Bunny Dull (Metro-Goldwyn-Mayer),
1932/33 (6th),ASSISTANT DIRECTOR,false,John S. Waters (Metro-Goldwyn-Mayer),
1932/33 (6th),ASSISTANT DIRECTOR,true,Charles Barton (Paramount),
1932/33 (6th),ASSISTANT DIRECTOR,false,Sidney S. Brod (Paramount),
1932/33 (6th),ASSISTANT DIRECTOR,false,Arthur Jacobson (Paramount),
1932/33 (6th),ASSISTANT DIRECTOR,false,Eddie Killey (RKO Radio),
1932/33 (6th),ASSISTANT DIRECTOR,true,Dewey Starkey (RKO Radio),
1932/33 (6th),ASSISTANT DIRECTOR,true,Fred Fox (United Artists),
1932/33 (6th),ASSISTANT DIRECTOR,false,Benjamin Silvey (United Artists),
1932/33 (6th),ASSISTANT DIRECTOR,true,Scott Beal (Universal),
1932/33 (6th),ASSISTANT DIRECTOR,false,Joe McDonough (Universal),
1932/33 (6th),ASSISTANT DIRECTOR,false,W. J. Reiter (Universal),
1932/33 (6th),ASSISTANT DIRECTOR,false,Al Alborn (Warner Bros.),
1932/33 (6th),ASSISTANT DIRECTOR,true,Gordon Hollingshead (Warner Bros.),
1932/33 (6th),ASSISTANT DIRECTOR,false,Frank X. Shaw (Warner Bros.),
1932/33 (6th),CINEMATOGRAPHY,true,A Farewell to Arms ,"Charles Bryant Lang, Jr."
1932/33 (6th),CINEMATOGRAPHY,false,Reunion in Vienna ,George J. Folsey [came in 2nd]
1932/33 (6th),CINEMATOGRAPHY,false,The Sign of the Cross ,Karl Struss [came in 3rd]
1932/33 (6th),DIRECTING,true,Cavalcade ,Frank Lloyd
1932/33 (6th),DIRECTING,false,Lady for a Day ,Frank Capra [came in 2nd]
1932/33 (6th),DIRECTING,false,Little Women ,George Cukor [came in 3rd]
1932/33 (6th),OUTSTANDING PRODUCTION,true,Cavalcade ,Fox
1932/33 (6th),OUTSTANDING PRODUCTION,false,A Farewell to Arms ,Paramount [came in 2nd]
1932/33 (6th),OUTSTANDING PRODUCTION,false,42nd Street ,Warner Bros.
1932/33 (6th),OUTSTANDING PRODUCTION,false,I Am a Fugitive from a Chain Gang ,Warner Bros.
1932/33 (6th),OUTSTANDING PRODUCTION,false,Lady for a Day ,Columbia
1932/33 (6th),OUTSTANDING PRODUCTION,false,Little Women ,RKO Radio [came in 3rd]
1932/33 (6th),OUTSTANDING PRODUCTION,false,The Private Life of Henry VIII ,London Films
1932/33 (6th),OUTSTANDING PRODUCTION,false,She Done Him Wrong ,Paramount
1932/33 (6th),OUTSTANDING PRODUCTION,false,Smilin' Through ,Metro-Goldwyn-Mayer
1932/33 (6th),OUTSTANDING PRODUCTION,false,State Fair ,Fox
1932/33 (6th),SHORT SUBJECT (Cartoon),false,Building a Building ,"Walt Disney, Producer [came in 2nd]"
1932/33 (6th),SHORT SUBJECT (Cartoon),false,The Merry Old Soul ,"Walter Lantz, Producer [came in 3rd]"
1932/33 (6th),SHORT SUBJECT (Cartoon),true,The Three Little Pigs ,"Walt Disney, Producer"
1932/33 (6th),SHORT SUBJECT (Comedy),false,Mister Mugg ,"Warren Doane, Producer [came in 3rd]"
1932/33 (6th),SHORT SUBJECT (Comedy),false,A Preferred List ,"Louis Brock, Producer [came in 2nd]"
1932/33 (6th),SHORT SUBJECT (Comedy),true,So This Is Harris ,"Louis Brock, Producer"
1932/33 (6th),SHORT SUBJECT (Novelty),true,Krakatoa ,"Joe Rock, Producer"
1932/33 (6th),SHORT SUBJECT (Novelty),false,Menu ,"Pete Smith, Producer [tied for 2nd]"
1932/33 (6th),SHORT SUBJECT (Novelty),false,The Sea ,Educational [tied for 2nd]
1932/33 (6th),SOUND RECORDING,true,A Farewell to Arms ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1932/33 (6th),SOUND RECORDING,false,42nd Street ,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director"
1932/33 (6th),SOUND RECORDING,false,Gold Diggers of 1933 ,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director [came in 3rd]"
1932/33 (6th),SOUND RECORDING,false,I Am a Fugitive from a Chain Gang ,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director [came in 2nd]"
1932/33 (6th),WRITING (Adaptation),false,Lady for a Day ,Robert Riskin [came in 2nd]
1932/33 (6th),WRITING (Adaptation),true,Little Women ,"Victor Heerman, Sarah Y. Mason"
1932/33 (6th),WRITING (Adaptation),false,State Fair ,"Paul Green, Sonya Levien [came in 3rd]"
1932/33 (6th),WRITING (Original Story),true,One Way Passage ,Robert Lord
1932/33 (6th),WRITING (Original Story),false,The Prizefighter and the Lady ,Frances Marion [came in 2nd]
1932/33 (6th),WRITING (Original Story),false,Rasputin and the Empress ,Charles MacArthur [came in 3rd]
1932/33 (6th),SCIENTIFIC OR TECHNICAL AWARD (Class II),true,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their wide range recording and reporducing system. [Sound]",
1932/33 (6th),SCIENTIFIC OR TECHNICAL AWARD (Class II),true,"To RCA-VICTOR COMPANY, INC. for their high-fidelity recording and reproducing system. [Sound]",
1932/33 (6th),SCIENTIFIC OR TECHNICAL AWARD (Class III),true,"To FOX FILM CORPORATION, FRED JACKMAN and WARNER BROS. PICTURES, INC., and SIDNEY SANDERS of RKO Studios, Inc., for their development and effective use of the translucent cellulose screen in composite photography. [Special Photographic]",
1934 (7th),ACTOR,true,Clark Gable,It Happened One Night
1934 (7th),ACTOR,false,Frank Morgan,The Affairs of Cellini
1934 (7th),ACTOR,false,William Powell,The Thin Man
1934 (7th),ACTRESS,true,Claudette Colbert,It Happened One Night
1934 (7th),ACTRESS,false,Bette Davis,Of Human Bondage
1934 (7th),ACTRESS,false,Grace Moore,One Night of Love
1934 (7th),ACTRESS,false,Norma Shearer,The Barretts of Wimpole Street
1934 (7th),ART DIRECTION,false,The Affairs of Cellini ,Richard Day [came in 3rd]
1934 (7th),ART DIRECTION,false,The Gay Divorcee ,"Van Nest Polglase, Carroll Clark [came in 2nd]"
1934 (7th),ART DIRECTION,true,The Merry Widow ,"Cedric Gibbons, Fredric Hope"
1934 (7th),ASSISTANT DIRECTOR,false,Cleopatra ,Cullen Tate [came in 2nd]
1934 (7th),ASSISTANT DIRECTOR,false,Imitation of Life ,Scott Beal [came in 3rd]
1934 (7th),ASSISTANT DIRECTOR,true,Viva Villa! ,John Waters
1934 (7th),CINEMATOGRAPHY,false,The Affairs of Cellini ,Charles Rosher [came in 3rd]
1934 (7th),CINEMATOGRAPHY,true,Cleopatra ,Victor Milner
1934 (7th),CINEMATOGRAPHY,false,Operator 13 ,George Folsey [came in 2nd]
1934 (7th),DIRECTING,true,It Happened One Night ,Frank Capra
1934 (7th),DIRECTING,false,One Night of Love ,Victor Schertzinger [came in 3rd]
1934 (7th),DIRECTING,false,The Thin Man ,W. S. Van Dyke [came in 2nd]
1934 (7th),FILM EDITING,false,Cleopatra ,Anne Bauchens [came in 3rd]
1934 (7th),FILM EDITING,true,Eskimo ,Conrad Nervig
1934 (7th),FILM EDITING,false,One Night of Love ,Gene Milford [came in 2nd]
1934 (7th),MUSIC (Scoring),false,The Gay Divorcee ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [came in 2nd]"
1934 (7th),MUSIC (Scoring),false,The Lost Patrol ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [came in 3rd]"
1934 (7th),MUSIC (Scoring),true,One Night of Love ,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)"
1934 (7th),MUSIC (Song),false,"""Carioca"" from Flying Down to Rio",Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [came in 3rd]
1934 (7th),MUSIC (Song),true,"""The Continental"" from The Gay Divorcee",Music by Con Conrad; Lyrics by Herb Magidson
1934 (7th),MUSIC (Song),false,"""Love In Bloom"" from She Loves Me Not",Music by Ralph Rainger; Lyrics by Leo Robin [came in 2nd]
1934 (7th),OUTSTANDING PRODUCTION,false,The Barretts of Wimpole Street ,Metro-Goldwyn-Mayer [came in 2nd]
1934 (7th),OUTSTANDING PRODUCTION,false,Cleopatra ,Paramount
1934 (7th),OUTSTANDING PRODUCTION,false,Flirtation Walk ,First National
1934 (7th),OUTSTANDING PRODUCTION,false,The Gay Divorcee ,RKO Radio
1934 (7th),OUTSTANDING PRODUCTION,false,Here Comes the Navy ,Warner Bros.
1934 (7th),OUTSTANDING PRODUCTION,false,The House of Rothschild ,20th Century [came in 3rd]
1934 (7th),OUTSTANDING PRODUCTION,false,Imitation of Life ,Universal
1934 (7th),OUTSTANDING PRODUCTION,true,It Happened One Night ,Columbia
1934 (7th),OUTSTANDING PRODUCTION,false,One Night of Love ,Columbia
1934 (7th),OUTSTANDING PRODUCTION,false,The Thin Man ,Metro-Goldwyn-Mayer
